============================================================
  Diagnostic Capture Summary
  Generated: 2026-04-12 19:24:32
============================================================

=== STATISTICS ===
  total_samples        : 326
  neg_core             : 130
  neg_core_pct         : 39.9%
  neg_ol_or            : 130
  core_min             : -485
  core_max             : 600
  core_mean            : 92.4
  yaw_min              : -59.1
  yaw_max              : 93.9
  yaw_final            : -42.3
  yaw_std              : 19.83
  max_abs_hd           : 200
  min_OL               : -600
  min_OR               : -600


--- FIRST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
     0     0     0     0     0      0.0      0.0     0     0
   212    98     0    98    98      0.0      0.0     0     0
   212    98     0    98    98      0.0      0.0     0     0
   334    93     0    93    93      0.0      0.0    42    39
   339    98     0    98    98      0.0      0.0     1     2
   459  -213     1  -212  -214     -0.1     -0.1    72    74
   581  -122     1  -121  -123     -0.1     -0.2   -89   -83
   585  -122     1  -121  -123     -0.1     -0.2   -89   -83
   705   235   -16   219   251      0.5      4.3   -15   -14
   826   183   -13   170   196      0.6      3.0   134   167
   831   180   -13   167   193      0.6      3.0     1     1
   961  -445     8  -437  -453     -0.4     -2.1   197   213
  1173  -192   -18  -210  -174     -0.4      6.3  -568  -523
  1173  -192   -18  -210  -174     -0.4      6.3  -568  -523
  1394     1   -20    60   100      2.7      2.4  -638  -627
  1394     ?     ?     ?     ?        ?        ?  -638     ?
  1615     4     8    88    72     -0.8     -1.2   -25    12
  1616     4     8    88    72     -0.8     -1.2   -25    12
  1837   -15   -32  -112   -48      1.4     10.0   155    92
  1837   -15   -32  -112   -48      1.4     10.0   155    92

  ... (286 samples omitted) ...


--- LAST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 29962  -485    45  -440  -530      2.8    -17.4  -606  -515
 29966  -485    45  -440  -530      2.8    -17.4  -606  -515
 30088   600   151   600   449     -0.8    -45.4  -602  -596
 30300   600   -81   519   600      4.2     19.8   744   593
 30301   600   -81   519   600      4.2     19.8   744   593
 30521   600   200   600   400     -1.2    -62.8  1332  1212
 30521   600   200   600   400     -1.2    -62.8  1332  1212
 30743   600   200   600   400    -20.4    -39.0  1323  1249
 30743   600   200   600   400    -20.4    -39.0  1323  1249
 30964   600   -83   517   600     -9.3     40.6  1584  1259
 30965   600   -83   517   600     -9.3     40.6  1584  1259
 31186   600  -200   400   600     10.1     60.5  1682  1517
 31186   600  -200   400   600     10.1     60.5  1682  1517
 31406   600     5   600   595     16.0    -24.3  1430  1683
 31407   600     5   600   595     16.0    -24.3     3     5
 31619   580   200   600   380     -3.5    -87.8  1361  1744
 31620   580   200   600   380     -3.5    -87.8  1361  1744
 31840   377   151   528   226    -22.9   -125.8  1481  1157
 31841   377   151   528   226    -22.9   -125.8  1481  1157
 32054   319   128   447   191    -42.3   -112.2  1116   586
