HB:t=1715,m=T,run=1,el=120,er=-9,yaw=17.1,yr=87.4,pc=124,hd=-11,OL=200,OR=-60,sb=7,lp=85.00
HB:t=1715,m=T,run=1,el=120,er=-9,yaw=17.1,yr=87.4,pc=124,hd=-11,OL=200,OR=-60,sb=7,lp=85.00
HB:t=1765,m=T,run=1,el=81,er=-9,yaw=20.7,yr=100.4,pc=139,hd=-11,OL=200,OR=-60,sb=1,lp=85.00
HB:t=1765,m=T,run=1,el=81,er=-9,yaw=20.7,yr=100.4,pc=139,hd=-11,OL=200,OR=-60,sb=1,lp=85.00
HB:t=1840,m=T,run=1,el=140,er=-24,yaw=24.3,yr=111.5,pc=124,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=1840,m=T,run=1,el=140,er=-24,yaw=24.3,yr=111.5,pc=124,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=1899,m=T,run=1,el=92,er=-20,yaw=27.9,yr=121.1,pc=138,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=1899,m=T,run=1,el=92,er=-20,yaw=27.9,yr=121.1,pc=138,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=1973,m=T,run=1,el=150,er=-31,yaw=31.5,yr=129.4,pc=149,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=1973,m=T,run=1,el=150,er=-31,yaw=31.5,yr=129.4,pc=149,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2008,m=T,run=1,el=44,er=-9,yaw=35.1,yr=136.4,pc=164,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2013,m=T,run=1,el=3,er=-1,yaw=35.1,yr=136.4,pc=174,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2082,m=T,run=1,el=148,er=-33,yaw=38.7,yr=142.5,pc=152,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2157,m=T,run=1,el=135,er=-31,yaw=42.3,yr=147.8,pc=134,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2157,m=T,run=1,el=135,er=-31,yaw=42.3,yr=147.8,pc=134,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2192,m=T,run=1,el=54,er=-13,yaw=45.9,yr=152.3,pc=163,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2197,m=T,run=1,el=54,er=-13,yaw=45.9,yr=152.3,pc=163,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2259,m=T,run=1,el=119,er=-27,yaw=49.5,yr=156.2,pc=143,hd=-11,OL=200,OR=-60,sb=0,lp=85.00
HB:t=2333,m=T,run=1,el=149,er=-35,yaw=53.1,yr=159.5,pc=149,hd=-11,OL=200,OR=-60,sb=128,lp=85.00
HB:t=2333,m=T,run=1,el=149,er=-35,yaw=53.1,yr=159.5,pc=149,hd=-11,OL=200,OR=-60,sb=128,lp=85.00
HB:t=2368,m=T,run=1,el=46,er=-10,yaw=56.7,yr=162.4,pc=163,hd=-11,OL=200,OR=-60,sb=64,lp=85.00
HB:t=2373,m=T,run=1,el=3,er=0,yaw=56.7,yr=162.4,pc=174,hd=-11,OL=200,OR=-60,sb=64,lp=85.00
HB:t=2442,m=T,run=1,el=150,er=-33,yaw=60.3,yr=164.8,pc=155,hd=-11,OL=200,OR=-60,sb=32,lp=85.00
HB:t=2516,m=T,run=1,el=135,er=-31,yaw=63.9,yr=167.0,pc=134,hd=0,OL=134,OR=134,sb=16,lp=85.00
HB:t=2517,m=T,run=1,el=135,er=-31,yaw=63.9,yr=167.0,pc=134,hd=0,OL=134,OR=134,sb=16,lp=85.00
HB:t=2590,m=T,run=1,el=96,er=1,yaw=67.5,yr=168.8,pc=52,hd=-3,OL=49,OR=55,sb=0,lp=55.00
HB:t=2620,m=T,run=1,el=11,er=3,yaw=71.1,yr=170.4,pc=96,hd=-67,OL=29,OR=163,sb=4,lp=-136.00
HB:t=2630,m=T,run=1,el=8,er=3,yaw=71.1,yr=170.4,pc=107,hd=-74,OL=33,OR=181,sb=4,lp=-144.00
HB:t=2699,m=T,run=1,el=46,er=46,yaw=74.7,yr=171.7,pc=95,hd=-60,OL=35,OR=155,sb=4,lp=-147.00
HB:t=2758,m=T,run=1,el=37,er=49,yaw=78.3,yr=172.9,pc=112,hd=-34,OL=78,OR=146,sb=4,lp=-149.00
HB:t=2759,m=T,run=1,el=37,er=49,yaw=78.3,yr=172.9,pc=112,hd=-34,OL=78,OR=146,sb=4,lp=-149.00
HB:t=2832,m=T,run=1,el=59,er=79,yaw=81.9,yr=173.9,pc=105,hd=-57,OL=48,OR=162,sb=6,lp=-179.00
HB:t=2867,m=T,run=1,el=18,er=28,yaw=85.5,yr=174.7,pc=129,hd=-48,OL=81,OR=177,sb=6,lp=-198.00
HB:t=2872,m=T,run=1,el=2,er=4,yaw=85.5,yr=174.7,pc=145,hd=-44,OL=101,OR=189,sb=6,lp=-199.00
HB:t=2941,m=T,run=1,el=79,er=113,yaw=89.1,yr=175.5,pc=99,hd=-68,OL=31,OR=167,sb=2,lp=-229.00
HB:t=3016,m=T,run=1,el=64,er=119,yaw=92.7,yr=176.1,pc=80,hd=-56,OL=24,OR=136,sb=2,lp=-248.00
HB:t=3017,m=T,run=1,el=64,er=119,yaw=92.7,yr=176.1,pc=80,hd=-56,OL=24,OR=136,sb=2,lp=-248.00
HB:t=3090,m=T,run=1,el=67,er=131,yaw=96.3,yr=176.6,pc=95,hd=-47,OL=48,OR=142,sb=2,lp=-249.00
HB:t=3120,m=T,run=1,el=11,er=23,yaw=99.9,yr=177.1,pc=145,hd=-45,OL=100,OR=190,sb=2,lp=-249.00
HB:t=3130,m=T,run=1,el=9,er=21,yaw=99.9,yr=177.1,pc=159,hd=-45,OL=114,OR=204,sb=2,lp=-249.00
HB:t=3199,m=T,run=1,el=72,er=161,yaw=103.5,yr=177.5,pc=124,hd=-15,OL=109,OR=139,sb=6,lp=-219.00
HB:t=3258,m=T,run=1,el=59,er=110,yaw=107.1,yr=177.9,pc=129,hd=5,OL=134,OR=124,sb=4,lp=-170.00
HB:t=3258,m=T,run=1,el=59,er=110,yaw=107.1,yr=177.9,pc=129,hd=5,OL=134,OR=124,sb=4,lp=-170.00
HB:t=3332,m=T,run=1,el=85,er=136,yaw=110.7,yr=178.2,pc=110,hd=-11,OL=99,OR=121,sb=4,lp=-151.00
HB:t=3332,m=T,run=1,el=85,er=136,yaw=110.7,yr=178.2,pc=110,hd=-11,OL=99,OR=121,sb=4,lp=-151.00
HB:t=3382,m=T,run=1,el=45,er=70,yaw=114.3,yr=178.4,pc=113,hd=-23,OL=90,OR=136,sb=4,lp=-150.00
HB:t=3383,m=T,run=1,el=45,er=70,yaw=114.3,yr=178.4,pc=113,hd=-23,OL=90,OR=136,sb=4,lp=-150.00
HB:t=3457,m=T,run=1,el=75,er=125,yaw=117.9,yr=178.6,pc=76,hd=-26,OL=50,OR=102,sb=0,lp=-150.00
HB:t=3530,m=T,run=1,el=76,er=127,yaw=121.5,yr=178.8,pc=88,hd=61,OL=149,OR=27,sb=16,lp=-29.00
HB:t=3580,m=T,run=1,el=61,er=58,yaw=125.1,yr=179.0,pc=121,hd=79,OL=200,OR=42,sb=16,lp=37.00
HB:t=3581,m=T,run=1,el=61,er=58,yaw=125.1,yr=179.0,pc=121,hd=79,OL=200,OR=42,sb=16,lp=37.00
HB:t=3639,m=T,run=1,el=83,er=60,yaw=128.7,yr=179.1,pc=132,hd=-17,OL=115,OR=149,sb=20,lp=-12.00
HB:t=3712,m=T,run=1,el=89,er=117,yaw=132.3,yr=179.3,pc=115,hd=-80,OL=35,OR=195,sb=3,lp=-213.00
HB:t=3762,m=T,run=1,el=37,er=72,yaw=135.9,yr=179.4,pc=116,hd=-81,OL=35,OR=197,sb=0,lp=-316.00
HB:t=3763,m=T,run=1,el=37,er=72,yaw=135.9,yr=179.4,pc=116,hd=-81,OL=35,OR=197,sb=0,lp=-316.00
HB:t=3797,m=T,run=1,el=17,er=43,yaw=138.0,yr=169.3,pc=139,hd=-71,OL=68,OR=210,sb=0,lp=-316.00
HB:t=3880,m=T,run=1,el=81,er=176,yaw=134.4,yr=120.4,pc=102,hd=-60,OL=42,OR=162,sb=0,lp=-316.00
HB:t=3880,m=T,run=1,el=81,er=176,yaw=134.4,yr=120.4,pc=102,hd=-60,OL=42,OR=162,sb=0,lp=-316.00
HB:t=3939,m=T,run=1,el=45,er=124,yaw=130.8,yr=78.3,pc=117,hd=-58,OL=59,OR=175,sb=0,lp=-316.00
HB:t=3939,m=T,run=1,el=45,er=124,yaw=130.8,yr=78.3,pc=117,hd=-58,OL=59,OR=175,sb=0,lp=-316.00
HB:t=3997,m=T,run=1,el=51,er=123,yaw=127.2,yr=42.2,pc=123,hd=-57,OL=66,OR=180,sb=0,lp=-316.00
HB:t=3998,m=T,run=1,el=51,er=123,yaw=127.2,yr=42.2,pc=123,hd=-57,OL=66,OR=180,sb=0,lp=-316.00
HB:t=4225,m=S,run=0,el=109,er=362,yaw=105.3,yr=-73.8,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=4225,m=S,run=0,el=109,er=362,yaw=105.3,yr=-73.8,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
