HB:t=1748,m=T,run=1,el=157,er=8,yaw=11.3,yr=68.6,pc=112,hd=60,OL=200,OR=-60,sb=22,lp=252.00
HB:t=1749,m=T,run=1,el=157,er=8,yaw=11.3,yr=68.6,pc=112,hd=60,OL=200,OR=-60,sb=22,lp=252.00
HB:t=1798,m=T,run=1,el=79,er=-6,yaw=14.9,yr=84.2,pc=133,hd=60,OL=200,OR=-60,sb=7,lp=252.00
HB:t=1872,m=T,run=1,el=133,er=-19,yaw=18.5,yr=97.6,pc=121,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=1872,m=T,run=1,el=133,er=-19,yaw=18.5,yr=97.6,pc=121,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=1926,m=T,run=1,el=94,er=-15,yaw=22.1,yr=109.1,pc=134,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=1926,m=T,run=1,el=94,er=-15,yaw=22.1,yr=109.1,pc=134,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=1996,m=T,run=1,el=142,er=-25,yaw=25.7,yr=119.1,pc=145,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=1996,m=T,run=1,el=142,er=-25,yaw=25.7,yr=119.1,pc=145,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2055,m=T,run=1,el=116,er=-23,yaw=29.3,yr=127.6,pc=156,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2056,m=T,run=1,el=116,er=-23,yaw=29.3,yr=127.6,pc=156,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2129,m=T,run=1,el=148,er=-31,yaw=32.9,yr=134.9,pc=149,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2179,m=T,run=1,el=78,er=-16,yaw=36.5,yr=141.2,pc=151,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2180,m=T,run=1,el=78,er=-16,yaw=36.5,yr=141.2,pc=151,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2238,m=T,run=1,el=99,er=-21,yaw=40.1,yr=146.7,pc=145,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2313,m=T,run=1,el=136,er=-28,yaw=43.7,yr=151.3,pc=129,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2314,m=T,run=1,el=136,er=-28,yaw=43.7,yr=151.3,pc=129,hd=60,OL=200,OR=-60,sb=0,lp=252.00
HB:t=2387,m=T,run=1,el=145,er=-31,yaw=47.3,yr=155.3,pc=135,hd=60,OL=200,OR=-60,sb=128,lp=252.00
HB:t=2417,m=T,run=1,el=25,er=-6,yaw=50.9,yr=158.8,pc=165,hd=60,OL=200,OR=-60,sb=192,lp=252.00
HB:t=2427,m=T,run=1,el=23,er=-5,yaw=50.9,yr=158.8,pc=173,hd=60,OL=200,OR=-60,sb=192,lp=252.00
HB:t=2496,m=T,run=1,el=166,er=-37,yaw=54.5,yr=161.8,pc=155,hd=60,OL=200,OR=-60,sb=96,lp=252.00
HB:t=2555,m=T,run=1,el=117,er=-26,yaw=58.1,yr=164.3,pc=160,hd=54,OL=214,OR=106,sb=48,lp=252.00
HB:t=2555,m=T,run=1,el=117,er=-26,yaw=58.1,yr=164.3,pc=160,hd=54,OL=214,OR=106,sb=48,lp=252.00
