HB:t=1690,m=T,run=1,el=140,er=-13,yaw=12.1,yr=81.1,pc=107,hd=30,OL=200,OR=-60,sb=18,lp=168.00
HB:t=1725,m=T,run=1,el=57,er=-9,yaw=15.7,yr=94.9,pc=152,hd=30,OL=200,OR=-60,sb=7,lp=168.00
HB:t=1730,m=T,run=1,el=57,er=-9,yaw=15.7,yr=94.9,pc=152,hd=30,OL=200,OR=-60,sb=7,lp=168.00
HB:t=1799,m=T,run=1,el=137,er=-25,yaw=19.3,yr=106.8,pc=129,hd=30,OL=200,OR=-60,sb=1,lp=168.00
HB:t=1871,m=T,run=1,el=149,er=-29,yaw=22.9,yr=117.1,pc=134,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=1925,m=T,run=1,el=105,er=-24,yaw=26.5,yr=125.9,pc=154,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=1926,m=T,run=1,el=105,er=-24,yaw=26.5,yr=125.9,pc=154,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=1994,m=T,run=1,el=126,er=-29,yaw=30.1,yr=133.5,pc=138,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2068,m=T,run=1,el=136,er=-33,yaw=33.7,yr=140.0,pc=129,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2068,m=T,run=1,el=136,er=-33,yaw=33.7,yr=140.0,pc=129,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2119,m=T,run=1,el=88,er=-23,yaw=37.3,yr=145.6,pc=151,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2119,m=T,run=1,el=88,er=-23,yaw=37.3,yr=145.6,pc=151,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2154,m=T,run=1,el=54,er=-14,yaw=40.9,yr=150.4,pc=168,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2159,m=T,run=1,el=54,er=-14,yaw=40.9,yr=150.4,pc=168,hd=30,OL=200,OR=-60,sb=0,lp=168.00
HB:t=2236,m=T,run=1,el=156,er=-39,yaw=44.5,yr=154.5,pc=133,hd=30,OL=200,OR=-60,sb=192,lp=168.00
HB:t=2294,m=T,run=1,el=102,er=-26,yaw=48.1,yr=158.1,pc=139,hd=30,OL=200,OR=-60,sb=64,lp=168.00
HB:t=2295,m=T,run=1,el=102,er=-26,yaw=48.1,yr=158.1,pc=139,hd=30,OL=200,OR=-60,sb=64,lp=168.00
HB:t=2368,m=T,run=1,el=135,er=-35,yaw=51.7,yr=161.2,pc=131,hd=30,OL=200,OR=-60,sb=32,lp=168.00
HB:t=2419,m=T,run=1,el=89,er=3,yaw=55.3,yr=163.8,pc=34,hd=-23,OL=11,OR=57,sb=16,lp=97.00
