HB:t=1687,m=T,run=1,el=150,er=-20,yaw=67.8,yr=137.6,pc=132,hd=-53,OL=200,OR=-60,sb=0,lp=22.00
HB:t=1722,m=T,run=1,el=42,er=-6,yaw=71.4,yr=143.6,pc=157,hd=-53,OL=200,OR=-60,sb=0,lp=22.00
HB:t=1727,m=T,run=1,el=6,er=-1,yaw=71.4,yr=143.6,pc=169,hd=-53,OL=200,OR=-60,sb=0,lp=22.00
HB:t=1796,m=T,run=1,el=152,er=-25,yaw=75.0,yr=148.7,pc=141,hd=-53,OL=200,OR=-60,sb=0,lp=22.00
HB:t=1855,m=T,run=1,el=99,er=-18,yaw=78.6,yr=153.1,pc=140,hd=-53,OL=200,OR=-60,sb=128,lp=22.00
HB:t=1855,m=T,run=1,el=99,er=-18,yaw=78.6,yr=153.1,pc=140,hd=-53,OL=200,OR=-60,sb=128,lp=22.00
HB:t=1929,m=T,run=1,el=135,er=-27,yaw=82.2,yr=156.8,pc=127,hd=-53,OL=200,OR=-60,sb=64,lp=22.00
HB:t=1929,m=T,run=1,el=135,er=-27,yaw=82.2,yr=156.8,pc=127,hd=-53,OL=200,OR=-60,sb=64,lp=22.00
HB:t=1964,m=T,run=1,el=48,er=-10,yaw=85.8,yr=160.1,pc=154,hd=-53,OL=200,OR=-60,sb=32,lp=22.00
HB:t=1969,m=T,run=1,el=2,er=0,yaw=85.8,yr=160.1,pc=168,hd=-53,OL=200,OR=-60,sb=32,lp=22.00
HB:t=2038,m=T,run=1,el=157,er=-35,yaw=89.4,yr=162.9,pc=151,hd=-48,OL=103,OR=199,sb=16,lp=22.00
HB:t=2112,m=T,run=1,el=103,er=3,yaw=93.0,yr=165.3,pc=41,hd=-28,OL=13,OR=69,sb=4,lp=-72.00
HB:t=2112,m=T,run=1,el=103,er=3,yaw=93.0,yr=165.3,pc=41,hd=-28,OL=13,OR=69,sb=4,lp=-72.00
HB:t=2162,m=T,run=1,el=40,er=12,yaw=96.6,yr=167.3,pc=84,hd=-58,OL=26,OR=142,sb=6,lp=-174.00
HB:t=2162,m=T,run=1,el=40,er=12,yaw=96.6,yr=167.3,pc=84,hd=-58,OL=26,OR=142,sb=6,lp=-174.00
HB:t=2237,m=T,run=1,el=38,er=56,yaw=100.2,yr=169.1,pc=92,hd=-64,OL=28,OR=156,sb=3,lp=-258.00
HB:t=2237,m=T,run=1,el=38,er=56,yaw=100.2,yr=169.1,pc=92,hd=-64,OL=28,OR=156,sb=3,lp=-258.00
HB:t=2311,m=T,run=1,el=25,er=77,yaw=103.8,yr=170.6,pc=86,hd=-60,OL=26,OR=146,sb=3,lp=-297.00
HB:t=2345,m=T,run=1,el=10,er=31,yaw=107.4,yr=171.9,pc=121,hd=-61,OL=60,OR=182,sb=3,lp=-299.00
HB:t=2419,m=T,run=1,el=30,er=95,yaw=111.0,yr=173.1,pc=96,hd=-67,OL=29,OR=163,sb=1,lp=-341.00
HB:t=2419,m=T,run=1,el=30,er=95,yaw=111.0,yr=173.1,pc=96,hd=-67,OL=29,OR=163,sb=1,lp=-341.00
HB:t=2454,m=T,run=1,el=11,er=38,yaw=114.6,yr=174.0,pc=135,hd=-71,OL=64,OR=206,sb=1,lp=-349.00
HB:t=2459,m=T,run=1,el=0,er=2,yaw=114.6,yr=174.0,pc=153,hd=-68,OL=85,OR=221,sb=1,lp=-349.00
HB:t=2536,m=T,run=1,el=49,er=165,yaw=118.2,yr=174.9,pc=123,hd=-64,OL=59,OR=187,sb=0,lp=-349.00
HB:t=2571,m=T,run=1,el=13,er=41,yaw=121.8,yr=175.6,pc=149,hd=-63,OL=86,OR=212,sb=0,lp=-349.00
HB:t=2576,m=T,run=1,el=3,er=9,yaw=121.8,yr=175.6,pc=164,hd=-63,OL=101,OR=227,sb=0,lp=-349.00
HB:t=2654,m=T,run=1,el=69,er=184,yaw=125.4,yr=176.2,pc=84,hd=-58,OL=26,OR=142,sb=0,lp=-349.00
