============================================================
  Diagnostic Capture Summary
  Generated: 2026-04-12 19:15:09
============================================================

=== STATISTICS ===
  total_samples        : 341
  neg_core             : 22
  neg_core_pct         : 6.5%
  neg_ol_or            : 22
  core_min             : -27
  core_max             : 112
  core_mean            : 48.7
  yaw_min              : -1.6
  yaw_max              : 1.0
  yaw_final            : -0.6
  yaw_std              : 0.43
  max_abs_hd           : 32
  min_OL               : -85
  min_OR               : -87


--- FIRST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
     0   108     0   108   108      0.0      0.0     0     0
   211   107    -1   106   108     -0.0      0.5   113   124
   212   107    -1   106   108     -0.0      0.5   113   124
   334   112     9   121   103     -0.1     -2.5   102   108
   338   112     9   121   103     -0.1     -2.5   102   108
   458    45     7    87    73     -0.8     -1.0   131   128
   670    46    -1    79    81     -0.4      0.9   223   207
   670    46    -1    79    81     -0.4      0.9   223   207
   891    49    -4    76    84      0.1      1.1   191   192
   892    49    -4    76    84      0.1      1.1   191   192
  1112    53    -3    77    83      0.3      0.5   180   182
  1113    53    -3    77    83      0.3      0.5   180   182
  1244    65    -1    79    81      0.3      0.1   104   103
  1244    65    -1    79    81      0.3      0.1   104   103
  1376     2    -2    78    82      0.0      0.5    88    87
  1377     2    -2    78    82      0.0      0.5    88    87
  1499    29     0    80    80      0.1     -0.0   106   104
  1503    29     0    80    80      0.1     -0.0   106   104
  1632   -27     1   -79   -81      0.0     -0.3   100   100
  1754    22    -2    78    82      0.1      0.5    -6    -7

  ... (301 samples omitted) ...


--- LAST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 30279    53     4    84    76     -0.1     -0.6   166   164
 30280    53     4    84    76     -0.1     -0.6   166   164
 30411    59     3    83    77     -0.1     -0.4   104   103
 30411    59     3    83    77     -0.1     -0.4   104   103
 30543    21     1    81    79      0.0     -0.0    96    95
 30544    49     1    81    79      0.0     -0.0     0     0
 30756    48     0    80    80      0.2      0.1   173   168
 30756    48     0    80    80      0.2      0.1   173   168
 30977    46    -1    79    81      0.4     -0.0   183   182
 30978    46    -1    79    81      0.4     -0.0   183   182
 31199    46     0    80    80      0.3     -0.2   171   173
 31199    46     0    80    80      0.3     -0.2   171   173
 31330    55     0    80    80      0.3     -0.1    99    96
 31331    55     0    80    80      0.3     -0.1    99    96
 31463    -1     1   -79   -81      0.4     -0.7    93    91
 31675    39     4    84    76     -0.4     -0.2   -48   -46
 31676    39     4    84    76     -0.4     -0.2   -48   -46
 31897    55     8    88    72     -0.2     -2.0    53    63
 31898    55     8    88    72     -0.2     -2.0    53    63
 32119    54     8    88    72     -0.6     -1.4   157   156
