HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=106,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=126,m=S,run=1,el=2,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=146,m=S,run=1,el=3,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=166,m=S,run=1,el=3,er=2,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=186,m=S,run=1,el=4,er=3,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=358,m=S,run=1,el=99,er=62,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=378,m=S,run=1,el=7,er=5,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=398,m=S,run=1,el=7,er=6,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=593,m=S,run=1,el=80,er=61,yaw=1.3,yr=1.7,pc=2,hd=0,OL=2,OR=2
HB:t=593,m=S,run=1,el=63,er=50,yaw=1.3,yr=1.7,pc=3,hd=0,OL=3,OR=3
HB:t=706,m=S,run=1,el=81,er=66,yaw=1.3,yr=1.7,pc=3,hd=0,OL=3,OR=3
HB:t=726,m=S,run=1,el=8,er=6,yaw=1.3,yr=1.7,pc=4,hd=0,OL=4,OR=4
HB:t=746,m=S,run=1,el=8,er=6,yaw=1.3,yr=1.7,pc=4,hd=0,OL=4,OR=4
HB:t=766,m=S,run=1,el=8,er=6,yaw=1.3,yr=1.7,pc=5,hd=0,OL=5,OR=5
HB:t=786,m=S,run=1,el=8,er=6,yaw=1.3,yr=1.7,pc=5,hd=0,OL=5,OR=5
HB:t=809,m=S,run=1,el=13,er=10,yaw=4.7,yr=7.1,pc=5,hd=-1,OL=4,OR=6
