HB:t=3239,m=S,run=1,el=8,er=8,yaw=3.5,yr=0.8,pc=8,hd=0,OL=8,OR=8
HB:t=3259,m=S,run=1,el=8,er=8,yaw=3.5,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=3279,m=S,run=1,el=9,er=8,yaw=3.5,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=3299,m=S,run=1,el=8,er=7,yaw=3.5,yr=0.8,pc=9,hd=0,OL=9,OR=9
HB:t=3487,m=S,run=1,el=154,er=155,yaw=3.3,yr=0.2,pc=7,hd=0,OL=7,OR=7
HB:t=3507,m=S,run=1,el=9,er=9,yaw=3.3,yr=0.2,pc=8,hd=0,OL=8,OR=8
HB:t=3726,m=S,run=1,el=89,er=90,yaw=3.3,yr=0.2,pc=7,hd=0,OL=7,OR=7
HB:t=3726,m=S,run=1,el=83,er=83,yaw=3.3,yr=0.2,pc=7,hd=0,OL=7,OR=7
HB:t=3833,m=S,run=1,el=83,er=81,yaw=3.3,yr=0.2,pc=7,hd=0,OL=7,OR=7
HB:t=3853,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.2,pc=8,hd=0,OL=8,OR=8
HB:t=3873,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.2,pc=8,hd=0,OL=8,OR=8
HB:t=3893,m=S,run=1,el=7,er=8,yaw=3.3,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=3913,m=S,run=1,el=7,er=7,yaw=3.3,yr=0.2,pc=9,hd=0,OL=9,OR=9
HB:t=4043,m=S,run=1,el=96,er=95,yaw=3.3,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=4063,m=S,run=1,el=8,er=7,yaw=3.3,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=4083,m=S,run=1,el=7,er=7,yaw=3.3,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4103,m=S,run=1,el=7,er=7,yaw=3.3,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4123,m=S,run=1,el=7,er=7,yaw=3.3,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=4319,m=S,run=1,el=87,er=86,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4319,m=S,run=1,el=68,er=67,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4432,m=S,run=1,el=88,er=88,yaw=3.3,yr=0.1,pc=7,hd=0,OL=7,OR=7
HB:t=4452,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4472,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4492,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=4512,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=4587,m=S,run=1,el=56,er=58,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4694,m=S,run=1,el=86,er=88,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4714,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=8,hd=0,OL=8,OR=8
HB:t=4734,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=4754,m=S,run=1,el=8,er=8,yaw=3.3,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=4774,m=S,run=1,el=9,er=9,yaw=3.3,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=4970,m=S,run=1,el=166,er=166,yaw=3.0,yr=-0.5,pc=6,hd=0,OL=6,OR=6
HB:t=5175,m=S,run=1,el=92,er=94,yaw=2.9,yr=-0.5,pc=7,hd=0,OL=7,OR=7
HB:t=5175,m=S,run=1,el=63,er=64,yaw=2.9,yr=-0.5,pc=7,hd=0,OL=7,OR=7
HB:t=5293,m=S,run=1,el=82,er=84,yaw=2.9,yr=-0.5,pc=7,hd=0,OL=7,OR=7
HB:t=5313,m=S,run=1,el=7,er=6,yaw=2.9,yr=-0.5,pc=8,hd=0,OL=8,OR=8
HB:t=5333,m=S,run=1,el=7,er=7,yaw=2.9,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=5353,m=S,run=1,el=7,er=7,yaw=2.9,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=5373,m=S,run=1,el=7,er=7,yaw=2.9,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=5395,m=S,run=1,el=19,er=17,yaw=2.8,yr=-0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5501,m=S,run=1,el=76,er=76,yaw=2.8,yr=-0.6,pc=8,hd=0,OL=8,OR=8
HB:t=5521,m=S,run=1,el=8,er=8,yaw=2.8,yr=-0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5541,m=S,run=1,el=8,er=8,yaw=2.8,yr=-0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5561,m=S,run=1,el=7,er=8,yaw=2.8,yr=-0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5581,m=S,run=1,el=8,er=8,yaw=2.8,yr=-0.6,pc=9,hd=0,OL=9,OR=9
HB:t=5757,m=S,run=1,el=142,er=145,yaw=2.8,yr=-0.4,pc=7,hd=0,OL=7,OR=7
HB:t=5777,m=S,run=1,el=10,er=10,yaw=2.8,yr=-0.4,pc=8,hd=0,OL=8,OR=8
HB:t=5931,m=S,run=1,el=97,er=99,yaw=2.6,yr=-0.4,pc=7,hd=0,OL=7,OR=7
HB:t=5931,m=S,run=1,el=26,er=27,yaw=2.6,yr=-0.4,pc=8,hd=0,OL=8,OR=8
HB:t=5951,m=S,run=1,el=9,er=8,yaw=2.6,yr=-0.4,pc=8,hd=0,OL=8,OR=8
HB:t=5971,m=S,run=1,el=8,er=8,yaw=2.6,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=5991,m=S,run=1,el=8,er=9,yaw=2.6,yr=-0.4,pc=9,hd=0,OL=9,OR=9
HB:t=6101,m=S,run=1,el=97,er=95,yaw=2.6,yr=-0.4,pc=8,hd=0,OL=8,OR=8
HB:t=6121,m=S,run=1,el=9,er=9,yaw=2.6,yr=-0.4,pc=8,hd=0,OL=8,OR=8
HB:t=6218,m=S,run=1,el=74,er=75,yaw=2.4,yr=-0.7,pc=8,hd=0,OL=8,OR=8
HB:t=6325,m=S,run=1,el=82,er=83,yaw=2.4,yr=-0.7,pc=7,hd=0,OL=7,OR=7
HB:t=6345,m=S,run=1,el=7,er=8,yaw=2.4,yr=-0.7,pc=8,hd=0,OL=8,OR=8
HB:t=6365,m=S,run=1,el=8,er=8,yaw=2.4,yr=-0.7,pc=9,hd=0,OL=9,OR=9
HB:t=6385,m=S,run=1,el=7,er=8,yaw=2.4,yr=-0.7,pc=9,hd=0,OL=9,OR=9
HB:t=6405,m=S,run=1,el=8,er=7,yaw=2.4,yr=-0.7,pc=9,hd=0,OL=9,OR=9
HB:t=6540,m=S,run=1,el=114,er=113,yaw=2.4,yr=-0.5,pc=7,hd=0,OL=7,OR=7
HB:t=6560,m=S,run=1,el=8,er=8,yaw=2.4,yr=-0.5,pc=8,hd=0,OL=8,OR=8
