tick,t_s,run,el,er,ed,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
13047,0.32,1,0.0,0.0,0.0,-0.007,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
13343,0.616,1,0.25,0.0,0.25,5.906,0.0,line_missing,0.037,0.037,0.03680360574839226,0.003807177946577769,0.0
13646,0.919,1,0.0,0.0,0.0,18.038,0.0,line_missing,0.0,0.037,0.03680360574839226,0.003807177946577769,0.0
13943,1.216,1,0.25,0.25,0.0,23.512,0.0,line_missing,0.07425,0.11124999999999999,0.10488911387774419,0.033428556759319585,0.0
14245,1.518,1,0.0,0.0,0.0,24.565,0.0,line_missing,0.0,0.11124999999999999,0.10488911387774419,0.033428556759319585,0.0
14547,1.82,1,0.25,0.0,0.25,24.39,0.0,line_missing,0.03775,0.149,0.13927014333680374,0.049017248601012996,0.0
14843,2.116,1,0.25,0.0,0.25,20.936,0.0,line_missing,0.037,0.186,0.17382740869572197,0.06223827015433138,0.0
15145,2.418,1,0.25,0.25,0.0,13.801,0.0,line_missing,0.0755,0.2615,0.2471477324965692,0.08024882588531629,0.0
15442,2.715,1,0.25,0.25,0.0,7.365,0.0,line_missing,0.07425,0.33575,0.32078514431399874,0.08976691817475596,0.0
15745,3.018,1,0.25,0.25,0.0,2.033,0.0,line_missing,0.07575,0.4115,0.3964874642786874,0.09245415689952423,0.0
16046,3.319,1,0.0,0.0,0.0,-1.714,0.0,line_missing,0.0,0.4115,0.3964874642786874,0.09245415689952423,0.0
16342,3.615,1,0.25,0.0,0.25,-4.883,0.0,line_missing,0.037,0.44849999999999995,0.4333531763323696,0.08930466888160873,0.0
16644,3.917,1,0.0,0.25,-0.25,-9.719,0.0,line_missing,0.03775,0.48624999999999996,0.47056137103148316,0.08293185574823858,0.0
16946,4.219,1,0.25,0.25,0.0,-13.358,0.0,line_missing,0.0755,0.56175,0.5440187560490888,0.06548873141871397,0.0
17242,4.515,1,0.0,0.25,-0.25,-14.802,0.0,line_missing,0.037,0.59875,0.5797908914863144,0.05603598968624334,0.0
17545,4.818,1,0.25,0.0,0.25,-15.058,0.0,line_missing,0.037875,0.636625,0.6163653901572034,0.04619618928312874,0.0
