tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
60768,24,1784.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.2,0.2,0.0,24.0,25.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=60768 exp_id=24 t_ms=1784 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.200 er=0.200 ed=0.000 L=24 R=25 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
60967,24,1983.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.167,0.167,0.0,26.0,26.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=60967 exp_id=24 t_ms=1983 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
61165,24,2181.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.2,0.2,0.0,18.0,18.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=61165 exp_id=24 t_ms=2181 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.200 er=0.200 ed=0.000 L=18 R=18 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
61363,24,2379.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.143,0.143,0.0,24.0,24.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=61363 exp_id=24 t_ms=2379 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.143 er=0.143 ed=0.000 L=24 R=24 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
61561,24,2577.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.143,0.143,0.0,26.0,26.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=61561 exp_id=24 t_ms=2577 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.143 er=0.143 ed=0.000 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
61760,24,2776.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.167,0.167,0.0,22.0,22.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=61760 exp_id=24 t_ms=2776 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=22 R=22 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
61958,24,2974.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.167,0.167,0.0,22.0,22.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=61958 exp_id=24 t_ms=2974 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=22 R=22 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
62156,24,3172.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.167,0.167,0.0,20.0,20.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=62156 exp_id=24 t_ms=3172 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=20 R=20 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
62355,24,3371.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.143,0.143,0.0,22.0,23.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=62355 exp_id=24 t_ms=3371 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.143 er=0.143 ed=0.000 L=22 R=23 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
62553,24,3569.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.167,0.167,0.0,18.0,18.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=62553 exp_id=24 t_ms=3569 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.167 er=0.167 ed=0.000 L=18 R=18 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
62751,24,3767.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.125,0.125,0.0,23.0,23.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=62751 exp_id=24 t_ms=3767 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.125 er=0.125 ed=0.000 L=23 R=23 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
62950,24,3966.0,1,18.0,0.5,0.004,0.0,-3.5,-3.5,0.0,0.125,0.125,0.0,20.0,20.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=62950 exp_id=24 t_ms=3966 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=0.000 el=0.125 er=0.125 ed=0.000 L=20 R=20 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
