tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
621616,10.808,1,0.0,0.25,-0.25,33636,33450,186,24.242,0.0,line_missing,0.037125,4.624374999999999,4.177179466046998,1.8323056826682942,0.0
621918,11.111,1,0.0,0.25,-0.25,34619,34536,83,17.853,0.0,line_missing,0.03775,4.662124999999999,4.213111660466206,1.8438789235376547,0.0
622215,11.408,1,0.0,0.0,0.0,35365,35352,13,-5.719,0.0,line_missing,0.0,4.662124999999999,4.213111660466206,1.8438789235376547,0.0
622518,11.711,1,0.25,0.25,0.0,35845,35955,-110,-29.072,0.0,line_missing,0.07575,4.737874999999999,4.279317901830793,1.8070713685472175,0.0
622814,12.007,1,0.25,0.0,0.25,36266,36547,-281,-29.175,0.0,line_missing,0.037,4.774874999999999,4.311623891765512,1.7890346555889813,0.0
623118,12.311,1,0.0,0.25,-0.25,36721,36748,-27,-29.079,0.0,line_missing,0.038,4.812874999999999,4.34483400755712,1.7705660820352926,0.0
623415,12.608,1,0.0,0.0,0.0,37241,37371,-130,-29.142,0.0,line_missing,0.0,4.812874999999999,4.34483400755712,1.7705660820352926,0.0
623718,12.911,1,0.25,0.25,0.0,37766,38162,-396,-29.089,0.0,line_missing,0.07575,4.888624999999999,4.411029324986242,1.7337388848780577,0.0
624014,13.207,1,0.0,0.0,0.0,38200,38695,-495,-29.378,0.0,line_missing,0.0,4.888624999999999,4.411029324986242,1.7337388848780577,0.0
624317,13.51,1,0.25,0.0,0.25,38618,39212,-594,-29.112,0.0,line_missing,0.037875,4.926499999999999,4.4441195893420655,1.7153120015316616,0.0
624614,13.807,1,0.0,0.0,0.0,39087,39241,-154,-29.13,0.0,line_missing,0.0,4.926499999999999,4.4441195893420655,1.7153120015316616,0.0
624917,14.11,1,0.0,0.0,0.0,39513,39995,-482,-29.236,0.0,line_missing,0.0,4.926499999999999,4.4441195893420655,1.7153120015316616,0.0
625213,14.406,1,0.0,0.0,0.0,40074,40393,-319,-29.232,0.0,line_missing,0.0,4.926499999999999,4.4441195893420655,1.7153120015316616,0.0
625517,14.71,1,0.25,0.0,0.25,40500,40652,-152,-29.278,0.0,line_missing,0.038,4.964499999999999,4.477265359807547,1.6967281940571526,0.0
