tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
274459,0.299,1,0.0,0.0,0.0,0,0,0,0.0,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
274762,0.602,1,0.25,0.25,0.0,725,636,89,1.524,0.0,line_missing,0.07575,0.07575,0.07572320512685066,0.0020146228721273592,0.0
275058,0.898,1,0.25,0.25,0.0,1775,1711,64,-0.076,0.0,line_missing,0.074,0.14975,0.1497231400264622,0.0019164655837793417,0.0
275361,1.201,1,0.25,0.25,0.0,3157,3146,11,-3.664,0.0,line_missing,0.07575,0.22549999999999998,0.22531830461261082,-0.0029243598823059215,0.0
275658,1.498,1,0.0,0.25,-0.25,4688,4766,-78,-9.106,0.0,line_missing,0.037125,0.262625,0.261975427112816,-0.008799816886229017,0.0
275961,1.801,1,0.25,0.25,0.0,6391,6530,-139,-14.482,0.0,line_missing,0.07575,0.338375,0.3353185656865734,-0.02774306170201017,0.0
276257,2.097,1,0.25,0.5,-0.25,8002,8191,-189,-17.812,0.0,line_missing,0.11099999999999999,0.44937499999999997,0.44099781922412157,-0.06169737470855786,0.0
276561,2.401,1,0.25,0.25,0.0,9633,9806,-173,-17.803,0.0,line_missing,0.076,0.5253749999999999,0.5133584365045085,-0.0849340067106654,0.0
276857,2.697,1,0.25,0.5,-0.25,11270,11447,-177,-17.548,0.0,line_missing,0.11099999999999999,0.6363749999999999,0.619193017915749,-0.11840102596107824,0.0
277160,3.0,1,0.25,0.25,0.0,12986,13117,-131,-15.527,0.0,line_missing,0.07575,0.7121249999999999,0.6921784772081195,-0.13867872878663817,0.0
277457,3.297,1,0.25,0.25,0.0,14666,14780,-114,-14.183,0.0,line_missing,0.07425,0.7863749999999999,0.764165195493705,-0.15687144409996492,0.0
277760,3.6,1,0.25,0.25,0.0,16328,16450,-122,-14.452,0.0,line_missing,0.07575,0.8621249999999999,0.8375182426730818,-0.17577628394324601,0.0
278056,3.896,1,0.25,0.25,0.0,17968,18124,-156,-16.283,0.0,line_missing,0.074,0.9361249999999999,0.908549993538986,-0.19652454577223116,0.0
278360,4.2,1,0.25,0.25,0.0,19645,19815,-170,-17.167,0.0,line_missing,0.076,1.012125,0.9811640810040149,-0.21895653858653846,0.0
278656,4.496,1,0.25,0.25,0.0,21311,21509,-198,-19.015,0.0,line_missing,0.074,1.086125,1.0511261459184371,-0.2430668988681716,0.0
278960,4.8,1,0.25,0.25,0.0,23051,23256,-205,-19.271,0.0,line_missing,0.076,1.162125,1.1228677229662414,-0.26814968425364993,0.0
279256,5.096,1,0.25,0.25,0.0,24737,24953,-216,-20.473,0.0,line_missing,0.074,1.2361250000000001,1.1921936695932467,-0.2940323642591985,0.0
279559,5.399,1,0.25,0.25,0.0,26397,26622,-225,-21.215,0.0,line_missing,0.07575,1.3118750000000001,1.2628100236285258,-0.3214439137003398,0.0
279856,5.696,1,0.25,0.25,0.0,28004,28224,-220,-21.32,0.0,line_missing,0.07425,1.386125,1.331978678266349,-0.34843946362238315,0.0
280159,5.999,1,0.25,0.25,0.0,29576,29798,-222,-21.422,0.0,line_missing,0.07575,1.461875,1.4024955383450586,-0.3761059586052989,0.0
280456,6.296,1,0.25,0.0,0.25,31134,31346,-212,-21.283,0.0,line_missing,0.037125,1.499,1.4370885749349112,-0.38958139716933526,0.0
280759,6.599,1,0.25,0.25,0.0,32721,32976,-255,-22.54,0.0,line_missing,0.07575,1.57475,1.5070521948394004,-0.41861851806415107,0.0
281055,6.895,1,0.25,0.25,0.0,34303,34582,-279,-24.892,0.0,line_missing,0.074,1.6487500000000002,1.5741778015317105,-0.44976579605419853,0.0
281359,7.199,1,0.25,0.0,0.25,35796,35764,32,-17.983,0.0,line_missing,0.038,1.6867500000000002,1.6103214316732282,-0.4614977183260674,0.0
281655,7.495,1,0.25,0.25,0.0,36833,37230,-397,16.965,0.0,line_missing,0.074,1.7607500000000003,1.681101186788795,-0.4399054450372174,0.0
281958,7.798,1,0.25,0.25,0.0,37839,38593,-754,13.921,0.0,line_missing,0.07575,1.8365000000000002,1.7546262856801502,-0.42168122123985213,0.0
282255,8.095,1,0.25,0.0,0.25,38950,39700,-750,13.927,0.0,line_missing,0.037125,1.8736250000000003,1.7906599283293776,-0.4127457737173279,0.0
282558,8.398,1,0.25,0.0,0.25,40056,40421,-365,13.923,0.0,line_missing,0.037875,1.9115000000000004,1.8274221596799494,-0.4036323785691384,0.0
282854,8.694,1,0.25,0.0,0.25,41063,41117,-54,13.911,0.0,line_missing,0.037,1.9485000000000003,1.863336962378924,-0.39473704568645646,0.0
283158,8.998,1,0.25,0.25,0.0,41990,42067,-77,13.923,0.0,line_missing,0.076,2.0245,1.9371040800724804,-0.37645010096665715,0.0
283454,9.294,1,0.0,0.25,-0.25,42904,43329,-425,13.964,0.0,line_missing,0.037,2.0615,1.9730106390061302,-0.36752154982191204,0.0
283757,9.597,1,0.0,0.0,0.0,43938,44125,-187,13.956,0.0,line_missing,0.0,2.0615,1.9730106390061302,-0.36752154982191204,0.0
284054,9.893,1,0.0,0.0,0.0,44949,44728,221,13.972,0.0,line_missing,0.0,2.0615,1.9730106390061302,-0.36752154982191204,0.0
284357,10.197,1,0.25,0.5,-0.25,45965,45855,110,13.997,0.0,line_missing,0.113625,2.175125,2.0832619300410813,-0.340038947140824,0.0
284653,10.493,1,0.0,0.25,-0.25,46884,47143,-259,13.987,0.0,line_missing,0.037,2.212125,2.1191649019316463,-0.3310959828992926,0.0
284956,10.796,1,0.25,0.25,0.0,47825,48155,-330,14.012,0.0,line_missing,0.07575,2.287875,2.1926609634837955,-0.31275500592633165,0.0
285253,11.093,1,0.25,0.0,0.25,48814,49160,-346,14.019,0.0,line_missing,0.037125,2.325,2.2286802120126494,-0.303761710622793,0.0
285556,11.396,1,0.0,0.0,0.0,49771,49577,194,13.977,0.0,line_missing,0.0,2.325,2.2286802120126494,-0.303761710622793,0.0
285853,11.693,1,0.0,0.0,0.0,50592,50653,-61,13.94,0.0,line_missing,0.0,2.325,2.2286802120126494,-0.303761710622793,0.0
286156,11.996,1,0.25,0.25,0.0,51375,51707,-332,13.957,0.0,line_missing,0.07575,2.4007500000000004,2.302193845773966,-0.28549129324367856,0.0
286453,12.292,1,0.0,0.0,0.0,52301,52340,-39,14.017,0.0,line_missing,0.0,2.4007500000000004,2.302193845773966,-0.28549129324367856,0.0
286756,12.596,1,0.0,0.0,0.0,53255,52650,605,13.975,0.0,line_missing,0.0,2.4007500000000004,2.302193845773966,-0.28549129324367856,0.0
287052,12.892,1,0.0,0.25,-0.25,53558,53731,-173,13.995,0.0,line_missing,0.037,2.4377500000000003,2.338095568641194,-0.27654331608877136,0.0
287355,13.195,1,0.25,0.25,0.0,54446,54781,-335,14.006,0.0,line_missing,0.07575,2.5135000000000005,2.4115935504529697,-0.25821003570593004,0.0
287652,13.492,1,0.25,0.0,0.25,55491,55876,-385,14.027,0.0,line_missing,0.037125,2.5506250000000006,2.4476115429298115,-0.24921171125422484,0.0
287955,13.795,1,0.25,0.25,0.0,56494,56416,78,14.046,0.0,line_missing,0.07575,2.626375000000001,2.5210967077874002,-0.2308271240722132,0.0
288252,14.092,1,0.25,0.25,0.0,57448,57530,-82,13.911,0.0,line_missing,0.07425,2.700625000000001,2.5931689807711535,-0.21297635470629064,0.0
288555,14.395,1,0.25,0.25,0.0,58800,58900,-100,9.798,0.0,line_missing,0.07575,2.776375000000001,2.6678140790993026,-0.20008559074208224,0.0
288851,14.691,1,0.25,0.0,0.25,60453,60525,-72,4.135,0.5,right_bias,0.037,2.813375000000001,2.7047177651958987,-0.19741764162639605,0.0185
289155,14.995,1,0.25,0.5,-0.25,62150,62339,-189,-3.753,-0.07142857142857142,left_bias,0.11399999999999999,2.927375000000001,2.8184732918961837,-0.20487955459430804,0.010357142857142858
