tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
61920,0.3,1,0.0,0.0,0.0,1,0,1,0.007,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
62223,0.603,1,0.0,0.5,-0.5,607,699,-92,-5.932,-1.5,left_bias,0.07575,0.07575,0.07534437782380342,-0.007828616119338003,-0.113625
62519,0.899,1,0.0,0.0,0.0,1540,1767,-227,-13.19,0.0,line_missing,0.0,0.07575,0.07534437782380342,-0.007828616119338003,-0.113625
62823,1.203,1,0.0,0.5,-0.5,2591,2943,-352,-22.997,0.0,line_missing,0.076,0.15175,0.1453043014464783,-0.03752051883219052,-0.113625
63119,1.499,1,0.5,0.5,0.0,3721,4028,-307,-24.12,0.0,line_missing,0.148,0.29974999999999996,0.2803826563821967,-0.09800058189317018,-0.113625
63423,1.803,1,0.5,0.0,0.5,4817,5047,-230,-18.775,0.0,line_missing,0.076,0.37575,0.3523386800371128,-0.1224613803219451,-0.113625
63719,2.099,1,0.0,0.5,-0.5,5904,6213,-309,-20.78,0.0,line_missing,0.074,0.44975,0.421524948598544,-0.14871514657643725,-0.113625
64034,2.414,1,0.5,0.0,0.5,7239,7516,-277,-21.386,0.0,line_missing,0.07875,0.5285,0.49485261296097216,-0.17743127687198867,-0.113625
64339,2.718,1,0.5,0.5,0.0,8498,8815,-317,-21.663,0.0,line_missing,0.1525,0.6809999999999999,0.6365817133086802,-0.23372614444114906,-0.113625
64642,3.022,1,0.0,0.0,0.0,9680,10008,-328,-23.525,0.0,line_missing,0.0,0.6809999999999999,0.6365817133086802,-0.23372614444114906,-0.113625
64938,3.318,1,0.0,0.0,0.0,10895,11230,-335,-23.971,0.0,line_missing,0.0,0.6809999999999999,0.6365817133086802,-0.23372614444114906,-0.113625
65242,3.622,1,0.0,0.0,0.0,12215,12531,-316,-23.371,0.0,line_missing,0.0,0.6809999999999999,0.6365817133086802,-0.23372614444114906,-0.113625
65538,3.918,1,0.0,0.0,0.0,13497,13790,-293,-22.152,0.0,line_missing,0.0,0.6809999999999999,0.6365817133086802,-0.23372614444114906,-0.113625
65842,4.222,1,0.5,0.0,0.5,14815,15083,-268,-20.759,0.0,line_missing,0.076,0.7569999999999999,0.7076477588231758,-0.26066342668958037,-0.113625
66137,4.517,1,0.5,0.0,0.5,16026,16407,-381,-25.636,0.0,line_missing,0.07375,0.8307499999999999,0.7741378723164347,-0.2925715339298028,-0.113625
66441,4.821,1,0.5,0.5,0.0,17260,17835,-575,-37.249,0.0,line_missing,0.152,0.9827499999999999,0.8951317824679702,-0.3845741083842286,-0.113625
66737,5.117,1,0.5,0.0,0.5,18423,19112,-689,-44.866,0.0,line_missing,0.074,1.0567499999999999,0.947579917802778,-0.4367774904576316,-0.113625
67041,5.421,1,0.5,0.0,0.5,19625,20416,-791,-51.855,0.0,line_missing,0.076,1.13275,0.9945216022015271,-0.49654770265240494,-0.113625
67338,5.717,1,0.0,0.0,0.0,20695,21619,-924,-58.692,0.0,line_missing,0.0,1.13275,0.9945216022015271,-0.49654770265240494,-0.113625
67641,6.021,1,0.0,0.5,-0.5,21541,22241,-700,-68.408,0.0,line_missing,0.07575,1.2085,1.0223972028330452,-0.5669821643131013,-0.113625
67937,6.317,1,0.0,0.0,0.0,22157,22698,-541,-73.184,0.0,line_missing,0.0,1.2085,1.0223972028330452,-0.5669821643131013,-0.113625
