tick,exp_id,t_ms,run,ts,st,lt,rt,kp,ki,kd,lp,lpr,y,yr,el,er,ed,dl,dr,cl,cr,la,ra,lse,rse,lso,rso,L,R,pwm_max,miss,lost,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
865038,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.12,0.0,0.0,0.046241,-0.001245,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=865038 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=0.046241 p=-0.817040 r=6.375322 yr=-0.001245 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=3260 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=3260 fail=0 rx=6 txdrop=0
870834,0,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=870834 exp_id=0 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lp=0.000000 lpr=0.000000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=120 txdrop=0
871033,0,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=871033 exp_id=0 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=CMD #EXP=RUN,28,5000!"
871620,28,300.0,1,18.0,1.8,0.981,0.981,0.5,0.004,0.0,0.0,0.0,-0.007,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=871620 exp_id=28 t_ms=300 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.981 rt=0.981 lp=0.000 lpr=0.000 y=-0.007 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
871922,28,602.0,1,18.0,1.8,1.334,1.334,0.5,0.004,0.0,0.0,0.0,6.51,0.0,1.0,1.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=871922 exp_id=28 t_ms=602 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.334 rt=1.334 lp=0.000 lpr=0.000 y=6.510 el=1.000 er=1.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
872235,28,915.0,1,18.0,1.8,1.701,1.701,0.5,0.004,0.0,0.0,0.0,11.232,0.0,1.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=872235 exp_id=28 t_ms=915 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.701 rt=1.701 lp=0.000 lpr=0.000 y=11.232 el=1.000 er=1.000 ed=0.000 dl=0 dr=1 cl=0 cr=0 L=24 R=24 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
872538,28,1218.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.0,0.0,14.335,0.0,1.0,0.0,1.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,29.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=872538 exp_id=28 t_ms=1218 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=0.000 lpr=0.000 y=14.335 el=1.000 er=0.000 ed=1.000 dl=0 dr=0 cl=0 cr=0 L=27 R=29 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
872842,28,1522.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,3.5,3.5,14.5,0.0,1.0,1.0,0.0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.0,0.0,0.0,1,-3.5,left_bias,0,0,0,0,0,0,0,1,TRK tick=872842 exp_id=28 t_ms=1522 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=3.500 lpr=3.500 y=14.500 el=1.000 er=1.000 ed=0.000 dl=0 dr=1 cl=0 cr=0 L=27 R=27 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=1 rx=151 txdrop=0
873155,28,1835.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,3.5,3.5,13.967,0.0,41.0,41.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=873155 exp_id=28 t_ms=1835 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=3.500 lpr=3.500 y=13.967 el=41.000 er=41.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=3 R=5 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
873459,28,2139.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,-3.5,-3.5,12.455,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.0,0.0,0.0,1,3.5,right_bias,1,0,0,0,0,0,0,0,TRK tick=873459 exp_id=28 t_ms=2139 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-3.500 lpr=-3.500 y=12.455 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=29 R=29 s1=1 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
