tick,exp_id,t_ms,run,ts,st,lt,rt,kp,ki,kd,lp,lpr,y,yr,el,er,ed,dl,dr,cl,cr,la,ra,lse,rse,lso,rso,L,R,pwm_max,miss,lost,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
15250,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.12,0.0,0.0,0.375202,-1.522418,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=15250 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=0.375202 p=-0.749834 r=5.303418 yr=-1.522418 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=56 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=56 fail=0 rx=6 txdrop=0
21195,0,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=21195 exp_id=0 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lp=0.000000 lpr=0.000000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=120 txdrop=0
21394,0,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=21394 exp_id=0 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0CMD #EXP=RUN,30,5000!"
21980,30,299.0,1,18.0,1.8,0.86,1.1,0.5,0.004,0.0,0.225,0.5,-0.005,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.86,1.1,26.0,26.0,26.0,26.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=21980 exp_id=30 t_ms=299 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=0.860 rt=1.100 la=0.000 ra=0.000 lse=0.860 rse=1.100 lso=26.000 rso=26.000 lp=0.225 lpr=0.500 y=-0.005 yr=0.000 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=151 txdrop=0
22283,30,602.0,1,18.0,1.8,1.214,1.454,0.5,0.004,0.0,0.225,0.5,-2.932,-37.031,0.25,0.0,0.25,0,0,0,0,0.25,0.0,0.964,1.454,26.0,26.0,26.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=22283 exp_id=30 t_ms=602 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.214 rt=1.454 la=0.250 ra=0.000 lse=0.964 rse=1.454 lso=26.000 rso=26.000 lp=0.225 lpr=0.500 y=-2.932 yr=-37.031 el=0.250 er=0.000 ed=0.250 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
22579,30,898.0,1,18.0,1.8,1.561,1.801,0.5,0.004,0.0,2.5,2.5,-6.589,-55.009,0.25,0.25,0.0,0,0,0,0,0.25,0.25,1.311,1.551,22.223,26.188,22.0,26.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=22579 exp_id=30 t_ms=898 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.561 rt=1.801 la=0.250 ra=0.250 lse=1.311 rse=1.551 lso=22.223 rso=26.188 lp=2.500 lpr=2.500 y=-6.589 yr=-55.009 el=0.250 er=0.250 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=22 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
22882,30,1201.0,1,18.0,1.8,1.68,1.92,0.5,0.004,0.0,2.5,2.5,-14.262,-140.626,0.25,0.0,0.25,0,0,0,0,0.25,0.0,1.43,1.92,24.969,31.53,24.0,31.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=22882 exp_id=30 t_ms=1201 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.680 rt=1.920 la=0.250 ra=0.000 lse=1.430 rse=1.920 lso=24.969 rso=31.530 lp=2.500 lpr=2.500 y=-14.262 yr=-140.626 el=0.250 er=0.000 ed=0.250 dl=0 dr=0 cl=0 cr=0 L=24 R=31 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
23194,30,1513.0,1,18.0,1.8,1.68,1.92,0.5,0.004,0.0,2.5,2.5,-24.724,-164.49,0.0,0.0,0.0,34,43,0,0,0.0,0.0,1.68,1.92,27.654,31.708,27.0,31.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=23194 exp_id=30 t_ms=1513 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.680 rt=1.920 la=0.000 ra=0.000 lse=1.680 rse=1.920 lso=27.654 rso=31.708 lp=2.500 lpr=2.500 y=-24.724 yr=-164.490 el=0.000 er=0.000 ed=0.000 dl=34 dr=43 cl=0 cr=0 L=27 R=31 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
23497,30,1816.0,1,18.0,1.8,1.68,1.92,0.5,0.004,0.0,2.5,2.5,-43.746,-122.617,0.25,0.25,0.0,0,0,0,0,0.25,0.25,1.43,1.67,25.615,29.663,25.0,29.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=23497 exp_id=30 t_ms=1816 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.680 rt=1.920 la=0.250 ra=0.250 lse=1.430 rse=1.670 lso=25.615 rso=29.663 lp=2.500 lpr=2.500 y=-43.746 yr=-122.617 el=0.250 er=0.250 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=25 R=29 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
23801,30,2120.0,1,18.0,1.8,1.68,1.92,0.5,0.004,0.0,2.5,2.5,-52.956,-153.253,0.25,0.0,0.25,0,0,0,0,0.25,0.0,1.43,1.92,25.937,32.482,25.0,32.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=23801 exp_id=30 t_ms=2120 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.680 rt=1.920 la=0.250 ra=0.000 lse=1.430 rse=1.920 lso=25.937 rso=32.482 lp=2.500 lpr=2.500 y=-52.956 yr=-153.253 el=0.250 er=0.000 ed=0.250 dl=0 dr=0 cl=0 cr=0 L=25 R=32 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
