tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
375548,0.287,1,0.0,0.0,0.0,0,0,0,-0.007,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
375852,0.591,1,25.814,24.586,1.228,718,582,136,6.642,1.5,right_bias,7.660799999999999,7.660799999999999,7.6093825902390435,0.8860887288341552,11.4912
376136,0.875,1,16.486,35.676,-19.189,1282,1525,-243,-6.106,-0.5,left_bias,7.407004000000001,15.067803999999999,14.974365254650275,0.09821906389074364,7.787697999999999
376432,1.171,1,27.905,26.872,1.032,2017,2393,-376,-22.484,0.0,line_missing,8.106996,23.174799999999998,22.465118994312647,-3.002102299411808,7.787697999999999
376729,1.468,1,34.441,15.583,18.858,3034,2934,100,-19.608,-2.5,left_bias,7.428564,30.603364,29.462905067653125,-5.495002853757697,-10.783712000000001
377032,1.771,1,34.984,16.056,18.928,4109,3402,707,29.532,3.5,right_bias,7.73256,38.335924,36.190855040395135,-1.683549939463619,16.280248
377327,2.066,1,21.398,29.201,-7.803,4776,4221,555,38.08,0.0,line_missing,7.4633525,45.7992765,42.0656356488206,2.919555897047675,16.280248
377630,2.369,1,15.69,37.688,-21.997,5270,5338,-68,24.854,0.0,line_missing,8.086767,53.8860435,49.403420450374384,6.318484363252185,16.280248
377927,2.666,1,13.459,39.054,-25.595,5692,6489,-797,-18.747,2.5,right_bias,7.798180500000001,61.684224,56.78788375846226,3.8122280391536023,35.77569925
378230,2.969,1,12.95,38.785,-25.836,6088,7667,-1579,-58.23,0.0,line_missing,7.8378524999999994,69.5220765,60.91459712548533,-2.8512671846902133,35.77569925
378544,3.283,1,12.958,39.117,-26.159,6499,8899,-2400,-109.71,0.0,line_missing,8.175775,77.6978515,58.15723875724171,-10.548037395609978,35.77569925
