OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
104,104,0,0,0,0,0.00,S,104,1,0,0.0,0.0
112,112,0,54,59,0,0.00,S,112,1,122,0.0,0.0
118,118,0,0,0,0,0.00,S,118,1,127,0.0,0.0
77,83,-4,91,91,-3,0.00,S,77,1,232,-0.1,1.2
80,80,-1,178,182,0,0.01,S,79,1,444,-0.1,0.3
80,80,-1,178,182,0,0.01,S,79,1,444,-0.1,0.3
83,89,-3,90,89,-3,0.01,S,86,1,567,-0.1,0.9
83,89,-3,90,89,-3,0.01,S,86,1,571,-0.1,0.9
78,82,-2,101,101,-2,0.02,S,21,1,700,-0.0,0.7
81,79,1,100,103,1,0.02,S,44,1,821,-0.1,-0.3
81,79,1,1,1,1,0.03,S,69,1,826,-0.1,-0.3
86,74,5,86,90,6,0.03,S,53,1,955,-0.3,-1.4
86,74,4,85,83,6,0.07,S,69,1,1078,-0.4,-1.3
86,74,4,85,83,6,0.07,S,69,1,1082,-0.4,-1.3
84,76,3,71,68,4,0.10,S,43,1,1186,-0.2,-0.8
79,81,-1,173,166,-1,0.10,S,54,1,1398,-0.0,0.3
79,81,-1,173,166,-1,0.10,S,54,1,1399,-0.0,0.3
79,81,-2,93,96,-1,0.10,S,68,1,1521,-0.0,0.5
85,87,-2,1,2,-1,0.10,S,86,1,1525,-0.0,0.5
79,81,-1,100,102,-1,0.11,S,48,1,1653,-0.1,0.4
77,83,-3,101,101,-3,0.11,S,63,1,1776,-0.0,1.1
77,83,-3,101,101,-3,0.11,S,63,1,1780,-0.0,1.1
76,84,-4,90,89,-4,0.11,S,22,1,1900,0.1,1.3
77,83,-2,168,171,-3,0.09,S,39,1,2112,0.2,0.7
77,83,-2,168,171,-3,0.09,S,39,1,2112,0.2,0.7
81,79,0,152,157,1,0.10,S,52,1,2333,-0.0,-0.1
81,79,0,152,157,1,0.10,S,52,1,2334,-0.0,-0.1
83,77,2,91,89,3,0.11,S,66,1,2465,-0.1,-0.7
83,77,2,91,89,3,0.11,S,66,1,2465,-0.1,-0.7
84,76,3,93,91,4,0.12,S,21,1,2598,-0.1,-0.9
84,76,3,93,91,4,0.12,S,21,1,2598,-0.1,-0.9
81,79,0,104,101,1,0.13,S,44,1,2720,-0.1,0.0
81,79,0,2,2,1,0.13,S,68,1,2725,-0.1,0.0
77,83,-3,99,100,-3,0.13,S,40,1,2854,0.1,0.8
80,80,0,170,170,0,0.13,S,51,1,3066,-0.0,-0.1
80,80,0,170,170,0,0.13,S,51,1,3066,-0.0,-0.1
82,78,1,93,93,2,0.13,S,65,1,3189,-0.0,-0.4
85,81,1,3,3,2,0.14,S,83,1,3193,-0.0,-0.4
76,84,-3,92,91,-4,0.13,S,34,1,3313,0.2,1.0
78,82,-2,100,101,-2,0.11,S,53,1,3435,0.2,0.5
78,82,-2,100,101,-2,0.11,S,53,1,3440,0.2,0.5
79,81,-1,82,82,-1,0.10,S,25,1,3559,0.2,0.2
82,78,2,92,92,2,0.08,S,47,1,3681,0.1,-0.7
82,78,2,2,2,2,0.08,S,70,1,3685,0.1,-0.7
85,75,5,88,87,5,0.08,S,47,1,3814,0.0,-1.6
81,79,2,165,159,1,0.06,S,56,1,4026,0.1,-0.6
81,79,2,165,159,1,0.06,S,56,1,4026,0.1,-0.6
78,82,-2,99,98,-2,0.05,S,68,1,4148,0.1,0.5
83,87,-2,4,3,-2,0.05,S,85,1,4153,0.1,0.5
78,82,-1,98,98,-2,0.04,S,15,1,4273,0.4,0.2
77,83,-2,176,178,-3,0.01,S,32,1,4485,0.4,0.6
77,83,-2,176,178,-3,0.01,S,32,1,4486,0.4,0.6
77,83,-1,161,159,-3,-0.04,S,46,1,4697,0.4,0.4
77,83,-1,161,159,-3,-0.04,S,46,1,4698,0.4,0.4
78,82,0,154,153,-2,-0.09,S,56,1,4910,0.5,-0.1
78,82,0,154,153,-2,-0.09,S,56,1,4910,0.5,-0.1
79,81,0,148,156,-1,-0.12,S,63,1,5132,0.3,-0.0
79,81,0,148,156,-1,-0.12,S,63,1,5132,0.3,-0.0
81,79,1,163,166,1,-0.11,S,67,1,5353,-0.1,-0.3
81,79,1,163,166,1,-0.11,S,67,1,5353,-0.1,-0.3
82,78,1,176,173,2,-0.09,S,68,1,5573,-0.1,-0.4
82,78,1,176,173,2,-0.09,S,68,1,5574,-0.1,-0.4
80,80,0,100,103,0,-0.08,S,76,1,5704,-0.2,0.2
80,80,0,100,103,0,-0.08,S,76,1,5705,-0.2,0.2
79,81,-2,95,99,-1,-0.07,S,18,1,5836,-0.3,0.6
81,79,-2,174,175,1,-0.01,S,34,1,6048,-0.5,0.6
81,79,-2,174,175,1,-0.01,S,34,1,6048,-0.5,0.6
80,80,-2,165,165,0,0.04,S,46,1,6269,-0.5,0.7
80,80,-2,165,165,0,0.04,S,46,1,6270,-0.5,0.7
85,75,2,148,154,5,0.11,S,56,1,6491,-0.7,-0.6
85,75,2,148,154,5,0.11,S,56,1,6491,-0.7,-0.6
96,64,11,152,153,16,0.21,S,62,1,6712,-1.0,-3.5
96,64,11,152,153,16,0.21,S,62,1,6712,-1.0,-3.5
89,71,4,111,89,9,0.32,S,72,1,6843,-1.1,-1.1
89,71,4,111,89,9,0.32,S,72,1,6844,-1.1,-1.1
73,87,-7,99,99,-7,0.42,S,14,1,6976,0.1,2.1
73,87,-4,175,168,-7,0.36,S,31,1,7187,0.6,1.4
73,87,-4,175,168,-7,0.36,S,31,1,7188,0.6,1.4
76,84,0,169,170,-4,0.29,S,43,1,7409,0.7,0.1
76,84,0,169,170,-4,0.29,S,43,1,7409,0.7,0.1
79,81,3,163,165,-1,0.21,S,52,1,7630,0.8,-0.8
79,81,3,163,165,-1,0.21,S,52,1,7631,0.8,-0.8
79,81,2,149,148,-1,0.14,S,60,1,7852,0.7,-0.7
79,81,2,149,148,-1,0.14,S,60,1,7852,0.7,-0.7
78,82,1,90,90,-2,0.07,S,71,1,7983,0.7,-0.3
78,82,1,90,90,-2,0.07,S,71,1,7983,0.7,-0.3
79,81,1,88,91,-1,0.01,S,22,1,8115,0.4,-0.4
79,81,1,88,91,-1,0.01,S,22,1,8116,0.4,-0.4
80,80,2,104,105,0,-0.04,S,42,1,8238,0.4,-0.8
80,80,2,104,105,0,-0.04,S,42,1,8242,0.4,-0.8
82,78,3,96,96,2,-0.07,S,5,1,8371,0.2,-1.1
79,81,0,99,96,-1,-0.09,S,32,1,8493,0.2,-0.0
79,81,0,99,96,-1,-0.09,S,32,1,8497,0.2,-0.0
79,81,0,78,80,-1,-0.10,S,17,1,8617,0.3,-0.1
81,79,2,160,165,1,-0.12,S,33,1,8829,0.1,-0.7
81,79,2,160,165,1,-0.12,S,33,1,8829,0.1,-0.7
82,78,2,169,169,2,-0.11,S,45,1,9051,-0.0,-0.6
82,78,2,169,169,2,-0.11,S,45,1,9051,-0.0,-0.6
82,78,2,92,93,2,-0.11,S,59,1,9182,-0.1,-0.7
82,78,2,92,93,2,-0.11,S,59,1,9182,-0.1,-0.7
81,79,0,90,91,1,-0.10,S,57,1,9315,-0.1,-0.1
81,79,0,90,91,1,-0.10,S,57,1,9315,-0.1,-0.1
83,77,3,90,92,3,-0.08,S,68,1,9437,-0.2,-0.8
83,77,3,90,92,3,-0.08,S,68,1,9442,-0.2,-0.8
84,76,3,102,102,4,-0.07,S,8,1,9571,-0.3,-0.8
80,80,-1,185,179,0,-0.05,S,25,1,9783,-0.2,0.4
80,80,-1,185,179,0,-0.05,S,25,1,9783,-0.2,0.4
80,80,-1,96,97,0,-0.03,S,45,1,9906,-0.2,0.4
80,80,-1,96,97,0,-0.03,S,45,1,9910,-0.2,0.4
79,81,-1,82,84,-1,-0.02,S,17,1,10031,-0.0,0.2
81,79,1,165,164,1,-0.02,S,33,1,10243,-0.0,-0.2
81,79,1,165,164,1,-0.02,S,33,1,10243,-0.0,-0.2
83,77,3,159,159,3,-0.02,S,45,1,10456,0.0,-0.9
83,77,3,159,159,3,-0.02,S,45,1,10456,0.0,-0.9
81,79,1,148,147,1,-0.02,S,54,1,10669,0.0,-0.4
81,79,1,148,147,1,-0.02,S,54,1,10669,0.0,-0.4
80,80,1,162,158,0,-0.02,S,59,1,10890,0.0,-0.2
80,80,1,162,158,0,-0.02,S,59,1,10890,0.0,-0.2
79,81,-1,106,106,-1,-0.03,S,68,1,11022,0.0,0.4
79,81,-1,106,106,-1,-0.03,S,68,1,11022,0.0,0.4
79,81,-1,104,107,-1,-0.03,S,46,1,11154,-0.1,0.4
82,78,2,101,102,2,-0.02,S,59,1,11276,-0.1,-0.5
82,78,2,101,102,2,-0.02,S,59,1,11280,-0.1,-0.5
80,80,0,94,92,0,-0.02,S,12,1,11409,-0.0,0.1
78,82,-2,97,97,-2,-0.02,S,35,1,11531,0.0,0.7
78,82,-2,1,1,-2,-0.02,S,60,1,11535,0.0,0.7
81,79,1,86,88,1,-0.02,S,44,1,11655,-0.0,-0.3
82,78,1,154,158,2,-0.01,S,52,1,11867,-0.1,-0.4
82,78,1,154,158,2,-0.01,S,52,1,11868,-0.1,-0.4
82,78,1,151,149,2,0.02,S,59,1,12089,-0.2,-0.4
82,78,1,151,149,2,0.02,S,59,1,12089,-0.2,-0.4
78,82,-3,161,157,-2,0.03,S,62,1,12310,-0.1,0.8
78,82,-3,161,157,-2,0.03,S,62,1,12310,-0.1,0.8
79,81,-1,102,102,-1,0.04,S,70,1,12441,-0.1,0.4
79,81,-1,102,102,-1,0.04,S,70,1,12442,-0.1,0.4
83,77,2,102,101,3,0.05,S,42,1,12573,-0.2,-0.5
82,78,2,168,165,2,0.06,S,50,1,12785,-0.1,-0.7
82,78,2,168,165,2,0.06,S,50,1,12785,-0.1,-0.7
80,80,1,160,159,0,0.04,S,56,1,13007,0.2,-0.3
80,80,1,160,159,0,0.04,S,56,1,13007,0.2,-0.3
81,79,2,156,155,1,0.01,S,60,1,13228,0.3,-0.8
81,79,2,156,155,1,0.01,S,60,1,13228,0.3,-0.8
82,78,3,144,144,2,-0.01,S,65,1,13449,0.2,-0.9
82,78,3,144,144,2,-0.01,S,65,1,13449,0.2,-0.9
81,79,2,84,83,1,-0.02,S,73,1,13581,0.2,-0.7
81,79,2,84,83,1,-0.02,S,73,1,13581,0.2,-0.7
80,80,1,87,86,0,-0.04,S,51,1,13713,0.2,-0.3
79,81,1,165,161,-1,-0.07,S,56,1,13925,0.4,-0.2
79,81,1,165,161,-1,-0.07,S,56,1,13925,0.4,-0.2
80,80,1,160,160,0,-0.10,S,60,1,14146,0.3,-0.3
80,80,1,160,160,0,-0.10,S,60,1,14146,0.3,-0.3
78,82,0,148,149,-2,-0.13,S,64,1,14368,0.3,0.1
78,82,0,148,149,-2,-0.13,S,64,1,14368,0.3,0.1
78,82,1,147,145,-2,-0.18,S,67,1,14589,0.5,-0.2
78,82,1,147,145,-2,-0.18,S,67,1,14589,0.5,-0.2
81,79,3,140,141,1,-0.23,S,69,1,14809,0.5,-1.0
81,79,3,140,141,1,-0.23,S,69,1,14809,0.5,-1.0
81,79,3,76,79,1,-0.27,S,76,1,14940,0.4,-1.1
81,79,3,76,79,1,-0.27,S,76,1,14941,0.4,-1.1
82,78,3,78,80,2,-0.30,S,57,1,15072,0.2,-1.0
81,79,2,141,137,1,-0.33,S,62,1,15284,0.2,-0.7
81,79,2,141,137,1,-0.33,S,62,1,15284,0.2,-0.7
74,86,-3,182,170,-6,-0.39,S,63,1,15505,0.6,1.0
74,86,-3,182,170,-6,-0.39,S,63,1,15506,0.6,1.0
74,86,-1,171,174,-6,-0.47,S,63,1,15727,0.8,0.4
74,86,-1,171,174,-6,-0.47,S,63,1,15727,0.8,0.4
73,87,-2,158,154,-7,-0.56,S,65,1,15948,0.9,0.7
73,87,-2,158,154,-7,-0.56,S,65,1,15948,0.9,0.7
74,86,-1,93,92,-6,-0.65,S,72,1,16079,0.9,0.2
74,86,-1,93,92,-6,-0.65,S,72,1,16080,0.9,0.2
75,85,1,92,91,-5,-0.74,S,30,1,16212,1.1,-0.2
78,82,3,149,154,-2,-0.83,S,42,1,16423,1.0,-1.1
78,82,3,149,154,-2,-0.83,S,42,1,16424,1.0,-1.1
78,82,2,153,153,-2,-0.91,S,50,1,16645,0.7,-0.7
78,82,2,153,153,-2,-0.91,S,50,1,16645,0.7,-0.7
75,85,0,183,179,-5,-1.00,S,54,1,16866,0.9,-0.0
75,85,0,183,179,-5,-1.00,S,54,1,16867,0.9,-0.0
77,83,2,177,177,-3,-1.09,S,56,1,17088,0.9,-0.7
77,83,2,177,177,-3,-1.09,S,56,1,17088,0.9,-0.7
76,84,1,103,105,-4,-1.18,S,64,1,17219,0.9,-0.3
76,84,1,103,105,-4,-1.18,S,64,1,17219,0.9,-0.3
74,86,-1,96,99,-6,-1.25,S,32,1,17351,0.7,0.4
74,86,-1,96,99,-6,-1.25,S,32,1,17352,0.7,0.4
74,86,-2,175,184,-6,-1.32,S,41,1,17564,0.6,0.6
74,86,-2,175,184,-6,-1.32,S,41,1,17564,0.6,0.6
83,77,5,183,189,3,-1.33,S,46,1,17786,0.1,-1.6
83,77,5,183,189,3,-1.33,S,46,1,17786,0.1,-1.6
84,76,4,178,179,4,-1.30,S,51,1,18007,-0.3,-1.2
84,76,4,178,179,4,-1.30,S,51,1,18007,-0.3,-1.2
82,78,2,111,109,2,-1.27,S,60,1,18138,-0.3,-0.7
82,78,2,111,109,2,-1.27,S,60,1,18139,-0.3,-0.7
79,81,0,107,102,-1,-1.25,S,14,1,18271,-0.1,-0.0
79,81,0,183,183,-1,-1.24,S,28,1,18483,-0.1,-0.1
79,81,0,183,183,-1,-1.24,S,28,1,18484,-0.1,-0.1
80,80,2,192,194,0,-1.25,S,36,1,18705,0.1,-0.6
80,80,2,192,194,0,-1.25,S,36,1,18705,0.1,-0.6
79,81,1,188,182,-1,-1.27,S,43,1,18926,0.2,-0.4
79,81,1,188,182,-1,-1.27,S,43,1,18926,0.2,-0.4
78,82,0,172,174,-2,-1.29,S,48,1,19147,0.3,-0.1
78,82,0,172,174,-2,-1.29,S,48,1,19147,0.3,-0.1
79,81,1,186,184,-1,-1.31,S,51,1,19368,0.1,-0.3
79,81,1,186,184,-1,-1.31,S,51,1,19368,0.1,-0.3
78,82,0,114,111,-2,-1.32,S,60,1,19499,0.1,0.0
78,82,0,114,111,-2,-1.32,S,60,1,19499,0.1,0.0
73,87,-4,105,105,-7,-1.33,S,13,1,19632,0.3,1.3
73,87,-4,105,105,-7,-1.33,S,13,1,19632,0.3,1.3
83,77,4,174,185,3,-1.32,S,27,1,19845,-0.1,-1.2
83,77,4,174,185,3,-1.32,S,27,1,19845,-0.1,-1.2
81,79,1,187,184,1,-1.30,S,36,1,20066,-0.3,-0.3
81,79,1,187,184,1,-1.30,S,36,1,20066,-0.3,-0.3
79,81,-1,97,99,-1,-1.27,S,50,1,20198,-0.2,0.3
79,81,-1,97,99,-1,-1.27,S,50,1,20198,-0.2,0.3
78,82,-2,77,78,-2,-1.25,S,19,1,20330,-0.3,0.5
82,78,1,84,85,2,-1.22,S,39,1,20452,-0.3,-0.5
82,78,1,0,1,2,-1.21,S,61,1,20457,-0.3,-0.5
83,77,2,92,89,3,-1.20,S,44,1,20586,-0.4,-0.7
80,80,0,170,168,0,-1.16,S,49,1,20798,-0.4,0.1
80,80,0,170,168,0,-1.16,S,49,1,20799,-0.4,0.1
81,79,0,169,169,1,-1.13,S,53,1,21011,-0.3,-0.2
81,79,0,169,169,1,-1.13,S,53,1,21012,-0.3,-0.2
79,81,-1,97,95,-1,-1.10,S,62,1,21134,-0.3,0.3
79,81,-1,97,95,-1,-1.10,S,62,1,21138,-0.3,0.3
79,81,-1,92,92,-1,-1.07,S,9,1,21268,-0.2,0.2
82,78,2,159,161,2,-1.05,S,25,1,21480,-0.2,-0.6
82,78,2,159,161,2,-1.05,S,25,1,21480,-0.2,-0.6
80,80,0,152,152,0,-1.02,S,37,1,21700,-0.3,-0.1
80,80,0,152,152,0,-1.02,S,37,1,21701,-0.3,-0.1
80,80,0,152,149,0,-1.00,S,46,1,21921,-0.2,0.1
80,80,0,152,149,0,-1.00,S,46,1,21921,-0.2,0.1
81,79,1,166,168,1,-0.97,S,50,1,22143,-0.3,-0.3
82,78,1,1,0,2,-0.94,S,68,1,22143,-0.3,-0.3
81,79,0,175,173,1,-0.90,S,65,1,22364,-0.4,-0.1
81,79,0,175,173,1,-0.90,S,65,1,22364,-0.4,-0.1
79,81,-2,166,165,-1,-0.88,S,64,1,22585,-0.2,0.5
79,81,-2,166,165,-1,-0.88,S,64,1,22586,-0.2,0.5
79,81,-1,97,99,-1,-0.86,S,69,1,22717,-0.2,0.4
79,81,-1,97,99,-1,-0.86,S,69,1,22717,-0.2,0.4
81,79,1,93,94,1,-0.84,S,10,1,22849,-0.2,-0.2
81,79,1,93,94,1,-0.84,S,10,1,22850,-0.2,-0.2
83,77,2,165,165,3,-0.81,S,25,1,23062,-0.3,-0.6
83,77,2,165,165,3,-0.81,S,25,1,23062,-0.3,-0.6
81,79,0,155,155,1,-0.78,S,36,1,23283,-0.3,-0.1
81,79,0,155,155,1,-0.78,S,36,1,23284,-0.3,-0.1
80,80,0,166,163,0,-0.75,S,44,1,23505,-0.3,0.1
80,80,0,166,163,0,-0.75,S,44,1,23505,-0.3,0.1
82,78,2,108,107,2,-0.72,S,54,1,23636,-0.3,-0.5
82,78,2,108,107,2,-0.72,S,54,1,23637,-0.3,-0.5
81,79,0,94,94,1,-0.70,S,3,1,23769,-0.4,-0.1
80,80,-1,163,164,0,-0.67,S,20,1,23980,-0.3,0.2
80,80,-1,163,164,0,-0.67,S,20,1,23981,-0.3,0.2
80,80,0,173,172,0,-0.65,S,31,1,24202,-0.2,0.1
80,80,0,173,172,0,-0.65,S,31,1,24202,-0.2,0.1
85,75,4,172,175,5,-0.62,S,39,1,24423,-0.3,-1.3
85,75,4,172,175,5,-0.62,S,39,1,24424,-0.3,-1.3
82,78,1,160,161,2,-0.58,S,45,1,24644,-0.3,-0.3
82,78,1,160,161,2,-0.58,S,45,1,24645,-0.3,-0.3
80,80,-1,100,95,0,-0.55,S,56,1,24776,-0.3,0.4
80,80,-1,100,95,0,-0.55,S,56,1,24776,-0.3,0.4
80,80,-1,96,94,0,-0.52,S,2,1,24908,-0.2,0.3
80,80,-1,96,94,0,-0.52,S,2,1,24909,-0.2,0.3
80,80,0,176,178,0,-0.49,S,18,1,25121,-0.3,0.1
80,80,0,176,178,0,-0.49,S,18,1,25121,-0.3,0.1
79,81,-2,177,177,-1,-0.46,S,29,1,25343,-0.3,0.5
79,81,-2,0,0,-1,-0.43,S,53,1,25343,-0.3,0.5
77,83,-4,175,173,-3,-0.41,S,54,1,25564,-0.2,1.1
77,83,-4,175,173,-3,-0.41,S,54,1,25564,-0.2,1.1
81,79,1,101,104,1,-0.39,S,61,1,25695,-0.2,-0.2
81,79,1,101,104,1,-0.39,S,61,1,25696,-0.2,-0.2
84,76,3,85,87,4,-0.37,S,12,1,25828,-0.3,-0.9
83,77,1,158,154,3,-0.33,S,26,1,26040,-0.4,-0.4
83,77,1,158,154,3,-0.33,S,26,1,26040,-0.4,-0.4
78,82,-2,172,168,-2,-0.31,S,35,1,26261,-0.2,0.7
78,82,-2,172,168,-2,-0.31,S,35,1,26262,-0.2,0.7
79,81,-1,179,179,-1,-0.29,S,41,1,26483,-0.2,0.4
79,81,-1,179,179,-1,-0.29,S,41,1,26483,-0.2,0.4
80,80,-1,173,173,0,-0.26,S,45,1,26704,-0.3,0.5
80,80,-1,173,173,0,-0.26,S,45,1,26704,-0.3,0.5
82,78,1,99,100,2,-0.23,S,55,1,26835,-0.3,-0.2
82,78,1,99,100,2,-0.23,S,55,1,26835,-0.3,-0.2
79,81,-1,86,86,-1,-0.21,S,9,1,26967,-0.1,0.3
79,81,-1,86,86,-1,-0.21,S,9,1,26968,-0.1,0.3
82,78,2,154,155,2,-0.19,S,24,1,27180,-0.2,-0.5
82,78,2,154,155,2,-0.19,S,24,1,27180,-0.2,-0.5
84,76,2,153,155,4,-0.15,S,35,1,27402,-0.4,-0.7
84,76,2,153,155,4,-0.15,S,35,1,27402,-0.4,-0.7
81,79,0,160,156,1,-0.12,S,42,1,27623,-0.3,0.1
81,79,0,160,156,1,-0.12,S,42,1,27623,-0.3,0.1
80,80,-1,172,167,0,-0.10,S,46,1,27844,-0.2,0.3
80,80,-1,172,167,0,-0.10,S,46,1,27844,-0.2,0.3
80,80,-1,100,101,0,-0.09,S,55,1,27975,-0.2,0.2
80,80,-1,100,101,0,-0.09,S,55,1,27975,-0.2,0.2
82,78,0,85,88,2,-0.07,S,8,1,28107,-0.2,-0.1
82,78,0,85,88,2,-0.07,S,8,1,28108,-0.2,-0.1
81,79,0,90,90,1,-0.05,S,29,1,28229,-0.3,-0.0
81,79,0,3,3,1,-0.04,S,51,1,28234,-0.3,-0.0
78,82,-2,89,87,-2,-0.03,S,20,1,28362,-0.1,0.7
76,84,-4,91,89,-4,-0.02,S,38,1,28485,-0.1,1.3
76,84,-4,91,89,-4,-0.02,S,38,1,28489,-0.1,1.3
81,79,0,73,73,1,-0.01,S,14,1,28609,-0.1,-0.1
81,79,0,138,144,1,0.01,S,28,1,28821,-0.3,-0.0
81,79,0,138,144,1,0.01,S,28,1,28822,-0.3,-0.0
81,79,-1,154,151,1,0.05,S,38,1,29042,-0.3,0.2
81,79,-1,1,0,1,0.08,S,58,1,29043,-0.3,0.2
79,81,-2,170,165,-1,0.10,S,57,1,29263,-0.2,0.7
79,81,-2,170,165,-1,0.10,S,57,1,29263,-0.2,0.7
80,80,-1,100,102,0,0.12,S,62,1,29394,-0.2,0.4
80,80,-1,100,102,0,0.12,S,62,1,29394,-0.2,0.4
79,81,-2,84,87,-1,0.14,S,10,1,29526,-0.2,0.6
79,81,-2,84,87,-1,0.14,S,10,1,29527,-0.2,0.6
82,78,1,91,91,2,0.17,S,30,1,29648,-0.2,-0.3
82,78,1,3,3,2,0.17,S,52,1,29653,-0.2,-0.3
81,79,-1,89,88,1,0.18,S,10,1,29781,-0.3,0.2
79,81,-3,91,90,-1,0.21,S,30,1,29904,-0.3,0.8
79,81,-3,91,90,-1,0.21,S,30,1,29908,-0.3,0.8
81,79,0,74,76,1,0.23,S,8,1,30028,-0.1,0.1
81,79,0,139,143,1,0.26,S,24,1,30240,-0.3,0.1
81,79,0,139,143,1,0.26,S,24,1,30240,-0.3,0.1
82,78,0,157,154,2,0.30,S,34,1,30461,-0.5,0.0
82,78,0,157,154,2,0.30,S,34,1,30462,-0.5,0.0
80,80,-2,170,169,0,0.35,S,40,1,30682,-0.4,0.6
80,80,-2,170,169,0,0.35,S,40,1,30682,-0.4,0.6
79,81,-3,171,170,-1,0.38,S,43,1,30903,-0.3,0.8
79,81,-3,171,170,-1,0.38,S,43,1,30904,-0.3,0.8
81,79,-1,168,168,1,0.42,S,46,1,31124,-0.4,0.4
81,79,-1,168,168,1,0.42,S,46,1,31124,-0.4,0.4
83,77,1,166,168,3,0.46,S,48,1,31344,-0.4,-0.2
83,77,1,166,168,3,0.46,S,48,1,31344,-0.4,-0.2
81,79,-1,159,156,1,0.49,S,50,1,31565,-0.3,0.4
81,79,-1,159,156,1,0.49,S,50,1,31565,-0.3,0.4
82,78,0,84,84,2,0.51,S,59,1,31687,-0.3,-0.1
82,78,0,84,84,2,0.51,S,59,1,31692,-0.3,-0.1
80,80,-2,84,85,0,0.53,S,9,1,31821,-0.4,0.6
84,76,2,90,91,4,0.57,S,29,1,31943,-0.4,-0.5
84,76,2,90,91,4,0.57,S,29,1,31947,-0.4,-0.5
