HB:t=2982,m=S,run=1,el=1,er=0,yaw=4.7,yr=8.2,pc=11,hd=-3,dp=-1,OL=8,OR=14
HB:t=3053,m=S,run=1,el=63,er=98,yaw=1.1,yr=-1.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=3172,m=S,run=1,el=107,er=156,yaw=-0.9,yr=-1.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=3181,m=S,run=1,el=6,er=8,yaw=-0.9,yr=-1.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=3247,m=S,run=1,el=58,er=75,yaw=-4.5,yr=-8.5,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=3372,m=S,run=1,el=133,er=124,yaw=-5.9,yr=-8.5,pc=10,hd=5,dp=1,OL=15,OR=5
HB:t=3380,m=S,run=1,el=8,er=8,yaw=-5.9,yr=-8.5,pc=10,hd=4,dp=1,OL=14,OR=6
HB:t=3426,m=S,run=1,el=50,er=39,yaw=-6.2,yr=-7.9,pc=10,hd=4,dp=1,OL=14,OR=6
HB:t=3467,m=S,run=1,el=14,er=10,yaw=-6.2,yr=-7.9,pc=11,hd=4,dp=1,OL=15,OR=7
HB:t=3467,m=S,run=1,el=40,er=29,yaw=-6.2,yr=-5.7,pc=11,hd=3,dp=1,OL=14,OR=8
HB:t=3590,m=S,run=1,el=154,er=111,yaw=-5.3,yr=-5.7,pc=9,hd=4,dp=1,OL=13,OR=5
HB:t=3594,m=S,run=1,el=26,er=17,yaw=-5.3,yr=-5.7,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=3665,m=S,run=1,el=83,er=55,yaw=-1.7,yr=3.2,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=3785,m=S,run=1,el=147,er=110,yaw=0.5,yr=3.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=3793,m=S,run=1,el=4,er=4,yaw=0.5,yr=3.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=3855,m=S,run=1,el=70,er=56,yaw=3.7,yr=9.9,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=3984,m=S,run=1,el=124,er=141,yaw=4.4,yr=9.9,pc=9,hd=-4,dp=-1,OL=5,OR=13
HB:t=3992,m=S,run=1,el=4,er=5,yaw=4.4,yr=9.9,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=4043,m=S,run=1,el=48,er=60,yaw=4.6,yr=8.6,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=4083,m=S,run=1,el=11,er=13,yaw=4.2,yr=8.6,pc=10,hd=-3,dp=-1,OL=7,OR=13
HB:t=4084,m=S,run=1,el=27,er=34,yaw=4.2,yr=3.4,pc=11,hd=-2,dp=0,OL=9,OR=13
HB:t=4206,m=S,run=1,el=120,er=146,yaw=3.3,yr=3.4,pc=9,hd=-3,dp=0,OL=6,OR=12
HB:t=4210,m=S,run=1,el=2,er=2,yaw=3.3,yr=3.4,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=4277,m=S,run=1,el=61,er=80,yaw=0.3,yr=-4.9,pc=10,hd=0,dp=1,OL=10,OR=10
HB:t=4400,m=S,run=1,el=122,er=145,yaw=-0.4,yr=-4.9,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=4409,m=S,run=1,el=9,er=11,yaw=-0.4,yr=-4.9,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=4475,m=S,run=1,el=63,er=64,yaw=-2.4,yr=-10.4,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=4600,m=S,run=1,el=140,er=119,yaw=-3.1,yr=-10.4,pc=9,hd=3,dp=2,OL=12,OR=6
HB:t=4608,m=S,run=1,el=16,er=13,yaw=-3.1,yr=-10.4,pc=10,hd=3,dp=2,OL=13,OR=7
HB:t=4654,m=S,run=1,el=46,er=37,yaw=-3.3,yr=-8.7,pc=10,hd=3,dp=1,OL=13,OR=7
HB:t=4694,m=S,run=1,el=13,er=10,yaw=-2.4,yr=-8.7,pc=11,hd=3,dp=1,OL=14,OR=8
HB:t=4694,m=S,run=1,el=34,er=27,yaw=-2.4,yr=-1.3,pc=11,hd=1,dp=0,OL=12,OR=10
HB:t=4817,m=S,run=1,el=138,er=121,yaw=-1.5,yr=-1.3,pc=9,hd=1,dp=0,OL=10,OR=8
