HB:t=4216,m=S,run=1,el=7,er=6,yaw=0.1,yr=-1.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4327,m=S,run=1,el=107,er=107,yaw=0.1,yr=-1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4448,m=S,run=1,el=109,er=106,yaw=0.1,yr=-0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4453,m=S,run=1,el=15,er=15,yaw=0.1,yr=-0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4554,m=S,run=1,el=91,er=89,yaw=0.3,yr=0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4672,m=S,run=1,el=110,er=111,yaw=0.3,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4681,m=S,run=1,el=2,er=1,yaw=0.3,yr=0.3,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=4787,m=S,run=1,el=112,er=113,yaw=0.3,yr=0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4905,m=S,run=1,el=117,er=116,yaw=0.3,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4913,m=S,run=1,el=13,er=12,yaw=0.3,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5011,m=S,run=1,el=89,er=87,yaw=0.5,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=5133,m=S,run=1,el=108,er=111,yaw=0.5,yr=1.4,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=5137,m=S,run=1,el=1,er=1,yaw=0.5,yr=1.1,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=5239,m=S,run=1,el=105,er=107,yaw=0.2,yr=0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5358,m=S,run=1,el=121,er=121,yaw=0.2,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5365,m=S,run=1,el=7,er=7,yaw=0.2,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5452,m=S,run=1,el=85,er=85,yaw=0.1,yr=0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5650,m=S,run=1,el=114,er=114,yaw=0.1,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5651,m=S,run=1,el=93,er=95,yaw=0.1,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5840,m=S,run=1,el=104,er=104,yaw=0.1,yr=0.4,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=5840,m=S,run=1,el=71,er=71,yaw=0.1,yr=-0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6044,m=S,run=1,el=99,er=98,yaw=0.1,yr=-0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6044,m=S,run=1,el=78,er=78,yaw=0.1,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6170,m=S,run=1,el=113,er=113,yaw=0.1,yr=0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=6178,m=S,run=1,el=5,er=5,yaw=0.1,yr=0.8,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=6289,m=S,run=1,el=117,er=114,yaw=0.2,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6477,m=S,run=1,el=113,er=112,yaw=0.2,yr=0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=6478,m=S,run=1,el=79,er=78,yaw=0.2,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6607,m=S,run=1,el=106,er=106,yaw=0.2,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6615,m=S,run=1,el=8,er=7,yaw=0.2,yr=0.9,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=6726,m=S,run=1,el=105,er=103,yaw=0.5,yr=1.4,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=6915,m=S,run=1,el=104,er=109,yaw=0.2,yr=1.6,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=6915,m=S,run=1,el=76,er=78,yaw=0.2,yr=-0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7043,m=S,run=1,el=98,er=100,yaw=0.1,yr=-2.1,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=7052,m=S,run=1,el=1,er=2,yaw=0.1,yr=-2.6,pc=11,hd=1,dp=1,OL=12,OR=10
HB:t=7156,m=S,run=1,el=109,er=102,yaw=0.1,yr=0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7274,m=S,run=1,el=118,er=114,yaw=0.2,yr=1.4,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=7283,m=S,run=1,el=13,er=13,yaw=0.2,yr=2.0,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=7388,m=S,run=1,el=111,er=113,yaw=0.3,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7507,m=S,run=1,el=112,er=112,yaw=0.3,yr=-0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=7515,m=S,run=1,el=7,er=7,yaw=0.3,yr=-0.8,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7612,m=S,run=1,el=91,er=89,yaw=0.3,yr=-0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7734,m=S,run=1,el=108,er=106,yaw=0.3,yr=-0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7739,m=S,run=1,el=15,er=15,yaw=0.3,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7845,m=S,run=1,el=102,er=101,yaw=0.4,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8032,m=S,run=1,el=101,er=104,yaw=0.2,yr=0.8,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=8033,m=S,run=1,el=72,er=77,yaw=0.2,yr=-1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8162,m=S,run=1,el=104,er=99,yaw=0.2,yr=-3.6,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=8171,m=S,run=1,el=3,er=3,yaw=0.2,yr=-3.8,pc=11,hd=1,dp=1,OL=12,OR=10
HB:t=8275,m=S,run=1,el=112,er=107,yaw=0.4,yr=-0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8460,m=S,run=1,el=122,er=119,yaw=0.7,yr=1.4,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=8460,m=S,run=1,el=79,er=85,yaw=0.7,yr=1.1,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=8675,m=S,run=1,el=111,er=120,yaw=-0.5,yr=0.8,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=8676,m=S,run=1,el=94,er=104,yaw=-0.5,yr=-2.6,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=8794,m=S,run=1,el=105,er=101,yaw=-0.7,yr=-4.3,pc=8,hd=1,dp=1,OL=9,OR=7
HB:t=8802,m=S,run=1,el=0,er=0,yaw=-0.7,yr=-5.6,pc=11,hd=2,dp=2,OL=13,OR=9
HB:t=8908,m=S,run=1,el=113,er=106,yaw=-0.6,yr=0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9026,m=S,run=1,el=119,er=117,yaw=-0.5,yr=3.6,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=9034,m=S,run=1,el=12,er=14,yaw=-0.5,yr=5.1,pc=9,hd=-1,dp=-2,OL=8,OR=10
HB:t=9131,m=S,run=1,el=85,er=100,yaw=-0.7,yr=-1.0,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=9319,m=S,run=1,el=112,er=106,yaw=-1.2,yr=-4.6,pc=9,hd=2,dp=1,OL=11,OR=7
HB:t=9320,m=S,run=1,el=87,er=77,yaw=-1.2,yr=-1.5,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=9528,m=S,run=1,el=113,er=117,yaw=-0.8,yr=0.8,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=9528,m=S,run=1,el=86,er=84,yaw=-0.8,yr=0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=9718,m=S,run=1,el=95,er=96,yaw=-0.8,yr=-0.3,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=9719,m=S,run=1,el=69,er=70,yaw=-0.8,yr=-0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9848,m=S,run=1,el=105,er=104,yaw=-0.8,yr=-0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9857,m=S,run=1,el=5,er=6,yaw=-0.8,yr=-0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9967,m=S,run=1,el=109,er=105,yaw=-0.6,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10155,m=S,run=1,el=105,er=106,yaw=-0.6,yr=1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10156,m=S,run=1,el=75,er=76,yaw=-0.6,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10284,m=S,run=1,el=97,er=98,yaw=-0.6,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10293,m=S,run=1,el=0,er=0,yaw=-0.6,yr=0.6,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=10403,m=S,run=1,el=115,er=113,yaw=-0.6,yr=0.5,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10591,m=S,run=1,el=122,er=119,yaw=-0.5,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10592,m=S,run=1,el=88,er=88,yaw=-0.5,yr=-0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=10720,m=S,run=1,el=120,er=121,yaw=-0.5,yr=-0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10729,m=S,run=1,el=4,er=4,yaw=-0.5,yr=-0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10834,m=S,run=1,el=108,er=107,yaw=-0.6,yr=-0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10952,m=S,run=1,el=110,er=109,yaw=-0.6,yr=-0.7,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=10960,m=S,run=1,el=2,er=3,yaw=-0.6,yr=-0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=11066,m=S,run=1,el=99,er=100,yaw=-0.5,yr=-0.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=11185,m=S,run=1,el=103,er=105,yaw=-0.5,yr=0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11193,m=S,run=1,el=12,er=12,yaw=-0.5,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11290,m=S,run=1,el=85,er=85,yaw=-0.6,yr=0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=11478,m=S,run=1,el=110,er=109,yaw=-0.7,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11479,m=S,run=1,el=84,er=83,yaw=-0.7,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11682,m=S,run=1,el=106,er=105,yaw=-0.6,yr=0.8,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=11682,m=S,run=1,el=78,er=77,yaw=-0.6,yr=0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11887,m=S,run=1,el=108,er=98,yaw=-1.3,yr=1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=11888,m=S,run=1,el=74,er=74,yaw=-1.3,yr=1.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=12078,m=S,run=1,el=87,er=95,yaw=-1.8,yr=1.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=12078,m=S,run=1,el=70,er=73,yaw=-1.8,yr=-0.5,pc=9,hd=1,dp=0,OL=10,OR=8
