HB:t=4116,m=S,run=1,el=96,er=96,yaw=-0.9,yr=-0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4116,m=S,run=1,el=72,er=70,yaw=-0.9,yr=-0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4331,m=S,run=1,el=113,er=112,yaw=-0.8,yr=-0.7,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=4331,m=S,run=1,el=96,er=90,yaw=-0.8,yr=-0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4516,m=S,run=1,el=98,er=104,yaw=-0.8,yr=-0.2,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=4517,m=S,run=1,el=70,er=70,yaw=-0.8,yr=-0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4652,m=S,run=1,el=105,er=106,yaw=-0.8,yr=-0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4657,m=S,run=1,el=15,er=14,yaw=-0.8,yr=-0.9,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4755,m=S,run=1,el=85,er=80,yaw=-0.6,yr=1.7,pc=10,hd=0,dp=-1,OL=10,OR=10
HB:t=4949,m=S,run=1,el=105,er=105,yaw=-0.7,yr=3.3,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=4949,m=S,run=1,el=76,er=86,yaw=-0.7,yr=-1.5,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=5147,m=S,run=1,el=99,er=101,yaw=-1.2,yr=-5.1,pc=10,hd=2,dp=2,OL=12,OR=8
HB:t=5148,m=S,run=1,el=89,er=81,yaw=-1.2,yr=-1.5,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=5347,m=S,run=1,el=116,er=115,yaw=-0.8,yr=1.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5348,m=S,run=1,el=90,er=88,yaw=-0.8,yr=1.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5547,m=S,run=1,el=110,er=110,yaw=-0.7,yr=1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5548,m=S,run=1,el=87,er=88,yaw=-0.7,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5746,m=S,run=1,el=109,er=112,yaw=-1.0,yr=-0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5747,m=S,run=1,el=83,er=84,yaw=-1.0,yr=-0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5947,m=S,run=1,el=105,er=106,yaw=-0.9,yr=-0.4,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=5947,m=S,run=1,el=81,er=78,yaw=-0.9,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6147,m=S,run=1,el=97,er=101,yaw=-1.3,yr=1.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6147,m=S,run=1,el=77,er=81,yaw=-1.3,yr=-1.2,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=6347,m=S,run=1,el=106,er=105,yaw=-1.4,yr=-3.0,pc=9,hd=1,dp=1,OL=10,OR=8
HB:t=6347,m=S,run=1,el=85,er=80,yaw=-1.4,yr=-0.4,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=6547,m=S,run=1,el=108,er=109,yaw=-1.3,yr=1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6547,m=S,run=1,el=85,er=84,yaw=-1.3,yr=1.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6747,m=S,run=1,el=109,er=108,yaw=-1.3,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6747,m=S,run=1,el=85,er=86,yaw=-1.3,yr=0.2,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=6876,m=S,run=1,el=108,er=106,yaw=-1.3,yr=-0.2,pc=9,hd=1,dp=0,OL=10,OR=8
HB:t=6881,m=S,run=1,el=16,er=14,yaw=-1.3,yr=-0.6,pc=10,hd=1,dp=0,OL=11,OR=9
HB:t=6986,m=S,run=1,el=97,er=92,yaw=-0.9,yr=0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7154,m=S,run=1,el=108,er=105,yaw=-0.6,yr=1.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7155,m=S,run=1,el=59,er=59,yaw=-0.6,yr=1.7,pc=9,hd=0,dp=-1,OL=9,OR=9
HB:t=7193,m=S,run=1,el=20,er=20,yaw=-0.6,yr=1.8,pc=11,hd=0,dp=-1,OL=11,OR=11
HB:t=7391,m=S,run=1,el=108,er=107,yaw=-0.5,yr=1.8,pc=10,hd=0,dp=-1,OL=10,OR=10
HB:t=7391,m=S,run=1,el=99,er=97,yaw=-0.5,yr=1.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7585,m=S,run=1,el=122,er=120,yaw=-0.4,yr=0.9,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7586,m=S,run=1,el=95,er=93,yaw=-0.4,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7785,m=S,run=1,el=107,er=104,yaw=-0.2,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7785,m=S,run=1,el=81,er=81,yaw=-0.2,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7985,m=S,run=1,el=103,er=103,yaw=-0.1,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=7985,m=S,run=1,el=83,er=83,yaw=-0.1,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8185,m=S,run=1,el=100,er=100,yaw=-0.1,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8185,m=S,run=1,el=80,er=79,yaw=-0.1,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8385,m=S,run=1,el=100,er=97,yaw=0.1,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8386,m=S,run=1,el=81,er=80,yaw=0.1,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8585,m=S,run=1,el=107,er=104,yaw=0.1,yr=-0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8585,m=S,run=1,el=87,er=88,yaw=0.1,yr=-0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8785,m=S,run=1,el=102,er=102,yaw=0.2,yr=-1.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8786,m=S,run=1,el=82,er=79,yaw=0.2,yr=-0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8985,m=S,run=1,el=99,er=97,yaw=0.4,yr=0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8985,m=S,run=1,el=79,er=78,yaw=0.4,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9115,m=S,run=1,el=103,er=104,yaw=0.4,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9119,m=S,run=1,el=16,er=16,yaw=0.4,yr=0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9225,m=S,run=1,el=91,er=92,yaw=0.4,yr=-0.6,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9393,m=S,run=1,el=104,er=103,yaw=0.5,yr=-1.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9394,m=S,run=1,el=61,er=58,yaw=0.5,yr=-0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9463,m=S,run=1,el=51,er=49,yaw=0.6,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9651,m=S,run=1,el=109,er=107,yaw=0.7,yr=0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9651,m=S,run=1,el=82,er=82,yaw=0.7,yr=0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9855,m=S,run=1,el=116,er=116,yaw=0.7,yr=0.9,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=9856,m=S,run=1,el=88,er=96,yaw=0.7,yr=-0.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10060,m=S,run=1,el=110,er=104,yaw=0.6,yr=-0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10061,m=S,run=1,el=84,er=85,yaw=0.6,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10250,m=S,run=1,el=104,er=104,yaw=0.6,yr=1.2,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=10251,m=S,run=1,el=75,er=81,yaw=0.6,yr=-1.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=10380,m=S,run=1,el=109,er=106,yaw=0.5,yr=-3.6,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=10389,m=S,run=1,el=1,er=1,yaw=0.5,yr=-3.8,pc=11,hd=1,dp=1,OL=12,OR=10
HB:t=10499,m=S,run=1,el=118,er=112,yaw=0.6,yr=-0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10687,m=S,run=1,el=117,er=116,yaw=0.9,yr=1.5,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=10688,m=S,run=1,el=83,er=85,yaw=0.9,yr=0.5,pc=9,hd=0,dp=0,OL=9,OR=9
