HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=180,m=S,run=1,el=33,er=35,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=180,m=S,run=1,el=31,er=36,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=221,m=S,run=1,el=5,er=6,yaw=-0.0,yr=-0.3,pc=3,hd=0,OL=3,OR=3
HB:t=343,m=S,run=1,el=70,er=82,yaw=-0.3,yr=-0.6,pc=3,hd=0,OL=3,OR=3
HB:t=347,m=S,run=1,el=8,er=11,yaw=-0.3,yr=-0.6,pc=4,hd=0,OL=4,OR=4
HB:t=417,m=S,run=1,el=32,er=36,yaw=-1.2,yr=-6.8,pc=6,hd=0,OL=6,OR=6
HB:t=535,m=S,run=1,el=66,er=76,yaw=-1.6,yr=-6.3,pc=7,hd=0,OL=7,OR=7
HB:t=544,m=S,run=1,el=3,er=4,yaw=-1.6,yr=-6.3,pc=7,hd=0,OL=7,OR=7
HB:t=589,m=S,run=1,el=25,er=27,yaw=-1.7,yr=-6.2,pc=9,hd=0,OL=9,OR=9
HB:t=628,m=S,run=1,el=7,er=7,yaw=-2.5,yr=-10.8,pc=10,hd=0,OL=10,OR=10
HB:t=628,m=S,run=1,el=19,er=22,yaw=-2.5,yr=-10.8,pc=10,hd=1,OL=11,OR=9
HB:t=751,m=S,run=1,el=95,er=101,yaw=-2.8,yr=-9.8,pc=10,hd=1,OL=11,OR=9
HB:t=755,m=S,run=1,el=0,er=0,yaw=-2.8,yr=-9.8,pc=11,hd=1,OL=12,OR=10
HB:t=805,m=S,run=1,el=48,er=49,yaw=-3.1,yr=-10.1,pc=11,hd=1,OL=12,OR=10
HB:t=840,m=S,run=1,el=11,er=12,yaw=-3.6,yr=-12.1,pc=11,hd=1,OL=12,OR=10
HB:t=963,m=S,run=1,el=126,er=120,yaw=-3.6,yr=-10.5,pc=9,hd=2,OL=11,OR=7
HB:t=967,m=S,run=1,el=19,er=18,yaw=-3.6,yr=-10.5,pc=10,hd=2,OL=12,OR=8
