OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
108,108,0,0,0,0,0.00,S,108,1,0,0.0,0.0
106,108,-2,113,124,-1,0.00,S,107,1,211,-0.0,0.5
106,108,-2,113,124,-1,0.00,S,107,1,212,-0.0,0.5
121,103,8,102,108,9,0.02,S,112,1,334,-0.1,-2.5
121,103,8,102,108,9,0.02,S,112,1,338,-0.1,-2.5
87,73,3,131,128,7,0.04,S,45,1,458,-0.8,-1.0
79,81,-3,223,207,-1,0.08,S,46,1,670,-0.4,0.9
79,81,-3,223,207,-1,0.08,S,46,1,670,-0.4,0.9
76,84,-4,191,192,-4,0.07,S,49,1,891,0.1,1.1
76,84,-4,191,192,-4,0.07,S,49,1,892,0.1,1.1
77,83,-2,180,182,-3,0.05,S,53,1,1112,0.3,0.5
77,83,-2,180,182,-3,0.05,S,53,1,1113,0.3,0.5
79,81,0,104,103,-1,0.02,S,65,1,1244,0.3,0.1
79,81,0,104,103,-1,0.02,S,65,1,1244,0.3,0.1
78,82,-2,88,87,-2,-0.00,S,2,1,1376,0.0,0.5
78,82,-2,88,87,-2,-0.00,S,2,1,1377,0.0,0.5
80,80,0,106,104,0,-0.01,S,29,1,1499,0.1,-0.0
80,80,0,106,104,0,-0.01,S,29,1,1503,0.1,-0.0
-79,-81,1,100,100,1,-0.01,S,-27,1,1632,0.0,-0.3
78,82,-1,-6,-7,-2,-0.02,S,22,1,1754,0.1,0.5
78,82,-1,-6,-7,-2,-0.02,S,22,1,1758,0.1,0.5
81,79,1,28,31,1,-0.02,S,60,1,1878,-0.1,-0.3
83,77,2,142,143,3,-0.00,S,65,1,2090,-0.2,-0.6
83,77,2,142,143,3,-0.00,S,65,1,2091,-0.2,-0.6
80,80,-1,184,179,0,0.01,S,63,1,2312,-0.1,0.3
80,80,-1,184,179,0,0.01,S,63,1,2312,-0.1,0.3
78,82,-2,108,110,-2,0.02,S,71,1,2443,-0.1,0.7
88,92,-2,0,0,-2,0.03,S,90,1,2444,-0.1,0.7
81,79,1,114,116,1,0.03,S,39,1,2576,-0.0,-0.3
83,77,2,185,185,3,0.05,S,45,1,2788,-0.2,-0.5
83,77,2,185,185,3,0.05,S,45,1,2788,-0.2,-0.5
81,79,0,169,168,1,0.06,S,51,1,3010,-0.2,0.0
81,79,0,169,168,1,0.06,S,51,1,3010,-0.2,0.0
80,80,0,174,170,0,0.07,S,55,1,3231,-0.1,0.1
80,80,0,174,170,0,0.07,S,55,1,3232,-0.1,0.1
82,78,1,107,107,2,0.08,S,65,1,3363,-0.1,-0.4
